Nom;Prénom;Groupe;Parti ou groupement politique;ID_AN
Mattei;Jean-Paul;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720728
Mauborgne;Sereine;La République en Marche;En marche !;OMC_PA721726
Mazars;Stéphane;La République en Marche;En marche !;OMC_PA677483
Mbaye;Jean François;La République en Marche;En marche !;OMC_PA720870
Melchior;Graziella;La République en Marche;En marche !;OMC_PA719338
Mélenchon;Jean-Luc;La France insoumise;La France Insoumise;OMC_PA2150
Ménard;Emmanuelle;Non inscrit;Front National;OMC_PA719608
Mendes;Ludovic;La République en Marche;En marche !;OMC_PA720370
Menuel;Gérard;Les Républicains;Les Républicains;OMC_PA2155
Mesnier;Thomas;La République en Marche;En marche !;OMC_PA719072
Mette;Sophie;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719640
Meunier;Frédérique;Les Républicains;Les Républicains;OMC_PA719272
Meynier-Millefert;Marjolaine;La République en Marche;En marche !;OMC_PA719882
Michel;Monica;La République en Marche;En marche !;OMC_PA719130
Michel-Kleisbauer;Philippe;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721734
Michels;Thierry;La République en Marche;En marche !;OMC_PA720738
Mignola;Patrick;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721418
Millienne;Bruno;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721976
Minot;Maxime;Les Républicains;Les Républicains;OMC_PA720630
