Nom_de_famille;ID_AN;Nom;Groupe;Parti ou groupement politique
Lecoq;OMC_PA335612;M. Jean-Paul Lecoq;Gauche démocrate et républicaine;Parti communiste français
Ledoux;OMC_PA712014;M. Vincent Ledoux;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
LeFeur;OMC_PA719412;Mme Sandrine Le Feur;La République en Marche;En marche !
LeFoll;OMC_PA588886;M. Stéphane Le Foll;Parti socialiste
LeFur;OMC_PA1874;M. Marc Le Fur;Les Républicains;Les Républicains
LeGac;OMC_PA719404;M. Didier Le Gac;La République en Marche;En marche !
LeGendre;OMC_PA721466;M. Gilles Le Gendre;La République en Marche;En marche !
LeGrip;OMC_PA345722;Mme Constance Le Grip;Les Républicains;Les Républicains
LeguilleBalloy;OMC_PA722008;Mme Martine Leguille-Balloy;La République en Marche;En marche !
Lejeune;OMC_PA722320;M. Christophe Lejeune;La République en Marche;En marche !
LeMeur;OMC_PA719388;Mme Annaïg Le Meur;La République en Marche;En marche !
Lenne;OMC_PA721450;Mme Marion Lenne;La République en Marche;En marche !
LePeih;OMC_PA720342;Mme Nicole Le Peih;La République en Marche;En marche !
LePen;OMC_PA720614;Mme Marine Le Pen;Non inscrit;Front National
Leroy;OMC_PA1960;M. Maurice Leroy;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Lescure;OMC_PA721134;M. Roland Lescure;La République en Marche;En marche !
Letchimy;OMC_PA337483;M. Serge Letchimy;Socialistes et apparentés;Parti progressiste martiniquais
LeVigoureux;OMC_PA719006;M. Fabrice Le Vigoureux;La République en Marche;En marche !
Levy;OMC_PA267378;Mme Geneviève Levy;Les Républicains;Les Républicains
Limon;OMC_PA719858;Mme Monique Limon;La République en Marche;En marche !
Lioger;OMC_PA720378;M. Richard Lioger;La République en Marche;En marche !
Liso;OMC_PA720446;Mme Brigitte Liso;La République en Marche;En marche !
Lorho;OMC_PA721932;Mme Marie-France Lorho;Non inscrit;Non déclaré(s)
Lorion;OMC_PA721054;M. David Lorion;Les Républicains;Les Républicains
Louis;OMC_PA718918;Mme Alexandra Louis;La République en Marche;En marche !
Louwagie;OMC_PA608016;Mme Véronique Louwagie;Les Républicains;Les Républicains
Luquet;OMC_PA721530;Mme Aude Luquet;Mouvement Démocrate et apparentés;Mouvement Démocrate
Lurton;OMC_PA606712;M. Gilles Lurton;Les Républicains;Les Républicains
Magne;OMC_PA722244;Mme Marie-Ange Magne;La République en Marche;En marche !
Magnier;OMC_PA720230;Mme Lise Magnier;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Maillard;OMC_PA717379;M. Sylvain Maillard;La République en Marche;En marche !
MaillartMehaignerie;OMC_PA719718;Mme Laurence Maillart-Méhaignerie;La République en Marche;En marche !
Maire;OMC_PA722178;M. Jacques Maire;La République en Marche;En marche !
Manin;OMC_PA720988;Mme Josette Manin;Socialistes et apparentés;Parti progressiste martiniquais
MaquetE;OMC_PA346054;M. Emmanuel Maquet;Les Républicains;Les Républicains
MaquetJ;OMC_PA334116;Mme Jacqueline Maquet;La République en Marche;En marche !
Marilossian;OMC_PA721946;M. Jacques Marilossian;La République en Marche;En marche !
Marleix;OMC_PA606098;M. Olivier Marleix;Les Républicains;Les Républicains
Marlin;OMC_PA2086;M. Franck Marlin;Les Républicains;Les Républicains
Marsaud;OMC_PA719080;Mme Sandra Marsaud;La République en Marche;En marche !
Martin;OMC_PA719154;M. Didier Martin;La République en Marche;En marche !
Masseglia;OMC_PA720146;M. Denis Masséglia;La République en Marche;En marche !
Masson;OMC_PA346218;M. Jean-Louis Masson;Les Républicains;Les Républicains
Mathiasin;OMC_PA720976;M. Max Mathiasin;Mouvement Démocrate et apparentés;Mouvement Démocrate
Matras;OMC_PA721800;M. Fabien Matras;La République en Marche;En marche !
Mattei;OMC_PA720728;M. Jean-Paul Mattei;Mouvement Démocrate et apparentés;Mouvement Démocrate
Mauborgne;OMC_PA721726;Mme Sereine Mauborgne;La République en Marche;En marche !
MAZARS STÉPHANE;OMC_PA677483;M. Stéphane Mazars;La République en Marche;En marche !
Mbaye;OMC_PA720870;M. Jean François Mbaye;La République en Marche;En marche !
Melchior;OMC_PA719338;Mme Graziella Melchior;La République en Marche;En marche !
MELENCHON;OMC_PA2150;M. Jean-Luc Mélenchon;La France insoumise;La France Insoumise
Menard;OMC_PA719608;Mme Emmanuelle Ménard;Non inscrit;Front National
Mendes;OMC_PA720370;M. Ludovic Mendes;La République en Marche;En marche !
Menuel;OMC_PA2155;M. Gérard Menuel;Les Républicains;Les Républicains
Mesnier;OMC_PA719072;M. Thomas Mesnier;La République en Marche;En marche !
Mette;OMC_PA719640;Mme Sophie Mette;Mouvement Démocrate et apparentés;Mouvement Démocrate
Meunier;OMC_PA719272;Mme Frédérique Meunier;Les Républicains;Les Républicains
MeynierMillefert;OMC_PA719882;Mme Marjolaine Meynier-Millefert;La République en Marche;En marche !
Michel;OMC_PA719130;Mme Monica Michel;La République en Marche;En marche !
MichelKleisbauer;OMC_PA721734;M. Philippe Michel-Kleisbauer;Mouvement Démocrate et apparentés;Mouvement Démocrate
Michels;OMC_PA720738;M. Thierry Michels;La République en Marche;En marche !
Mignola;OMC_PA721418;M. Patrick Mignola;Mouvement Démocrate et apparentés;Mouvement Démocrate
Millienne;OMC_PA721976;M. Bruno Millienne;Mouvement Démocrate et apparentés;Mouvement Démocrate
Minot;OMC_PA720630;M. Maxime Minot;Les Républicains;Les Républicains
Miralles;OMC_PA719668;Mme Patricia Mirallès;La République en Marche;En marche !
Mis;OMC_PA719952;M. Jean-Michel Mis;La République en Marche;En marche !
Molac;OMC_PA607619;M. Paul Molac;Libertés et Territoires;Régions et peuples solidaires
Montchalin (de);OMC_PA721670;Mme Amélie de Montchalin;La République en Marche;En marche !
Morch;OMC_PA719456;Mme Sandrine Mörch;La République en Marche;En marche !
Moreau;OMC_PA719242;M. Jean-Baptiste Moreau;La République en Marche;En marche !
MorelALHuissier;OMC_PA266788;M. Pierre Morel-À-L'Huissier;UDI, Agir et Indépendants;Les Républicains
Morenas;OMC_PA721876;M. Adrien Morenas;La République en Marche;En marche !
Motin;OMC_PA719850;Mme Cendra Motin;La République en Marche;En marche !
Moutchou;OMC_PA720908;Mme Naïma Moutchou;La République en Marche;En marche !
Muschotti;OMC_PA721656;Mme Cécile Muschotti;La République en Marche;En marche !
Nadot;OMC_PA719464;M. Sébastien Nadot;La République en Marche;En marche !
Naegelen;OMC_PA721486;M. Christophe Naegelen;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Nilor;OMC_PA610654;M. Jean-Philippe Nilor;Gauche démocrate et républicaine;Mouvement Indépendantiste Martiniquais
Nogal;OMC_PA719520;M. Mickaël Nogal;La République en Marche;En marche !
Nury;OMC_PA720644;M. Jérôme Nury;Les Républicains;Les Républicains
O;OMC_PA721956;Mme Delphine O;La République en Marche;En marche !
Obono;OMC_PA721960;Mme Danièle Obono;La France insoumise;La France Insoumise
OPetit;OMC_PA719364;Mme Claire O'Petit;La République en Marche;En marche !
Oppelt;OMC_PA720108;Mme Valérie Oppelt;La République en Marche;En marche !
Orphelin;OMC_PA720278;M. Matthieu Orphelin;La République en Marche;En marche !
Osson;OMC_PA720492;Mme Catherine Osson;La République en Marche;En marche !
Pahun;OMC_PA720334;M. Jimmy Pahun;Mouvement Démocrate et apparentés;Mouvement Démocrate
Pajot;OMC_PA720606;M. Ludovic Pajot;Non inscrit;Front National
Paluszkiewicz;OMC_PA720402;M. Xavier Paluszkiewicz;La République en Marche;En marche !
Pancher;OMC_PA333421;M. Bertrand Pancher;Libertés et Territoires;Union des démocrates, radicaux et libéraux
Panonacle;OMC_PA719632;Mme Sophie Panonacle;La République en Marche;En marche !
Panot;OMC_PA720892;Mme Mathilde Panot;La France insoumise;La France Insoumise
Parigi;OMC_PA721636;M. Jean-François Parigi;Les Républicains;Les Républicains
Paris;OMC_PA719202;M. Didier Paris;La République en Marche;En marche !
Park;OMC_PA720944;Mme Zivka Park;La République en Marche;En marche !
Pauget;OMC_PA718784;M. Éric Pauget;Les Républicains;Les Républicains
PauLangevin;OMC_PA335532;Mme George Pau-Langevin;Socialistes et apparentés;Parti socialiste
Pellois;OMC_PA607595;M. Hervé Pellois;La République en Marche;En marche !
Peltier;OMC_PA719946;M. Guillaume Peltier;Les Républicains;Les Républicains
Perea;OMC_PA718802;M. Alain Perea;La République en Marche;En marche !
Perrot;OMC_PA720414;M. Patrice Perrot;La République en Marche;En marche !
Perrut;OMC_PA2377;M. Bernard Perrut;Les Républicains;Les Républicains
Person;OMC_PA721568;M. Pierre Person;La République en Marche;En marche !
Petel;OMC_PA718930;Mme Anne-Laurence Petel;La République en Marche;En marche !
PetitF;OMC_PA721182;M. Frédéric Petit;Mouvement Démocrate et apparentés;Mouvement Démocrate
PetitM;OMC_PA721234;Mme Maud Petit;Mouvement Démocrate et apparentés;Mouvement Démocrate
PetitV;OMC_PA720500;Mme Valérie Petit;La République en Marche;En marche !
Peu;OMC_PA721270;M. Stéphane Peu;Gauche démocrate et républicaine;Parti communiste français
Peyrol;OMC_PA718736;Mme Bénédicte Peyrol;La République en Marche;En marche !
Peyron;OMC_PA721710;Mme Michèle Peyron;La République en Marche;En marche !
Pichereau;OMC_PA721372;M. Damien Pichereau;La République en Marche;En marche !
Pietraszewski;OMC_PA720512;M. Laurent Pietraszewski;La République en Marche;En marche !
Pinel;OMC_PA336175;Mme Sylvia Pinel;Libertés et Territoires;Parti radical de gauche
PiresBeaune;OMC_PA608172;Mme Christine Pires Beaune;Socialistes et apparentés;Parti socialiste
Piron;OMC_PA721844;Mme Béatrice Piron;La République en Marche;En marche !
Pitollat;OMC_PA718910;Mme Claire Pitollat;La République en Marche;En marche !
Poletti;OMC_PA267260;Mme Bérengère Poletti;Les Républicains;Les Républicains
Polutele;OMC_PA693008;M. Napole Polutele;Union des démocrates, radicaux et libéraux
Pompili;OMC_PA609520;Mme Barbara Pompili;La République en Marche;En marche !
Pont;OMC_PA2449;M. Jean-Pierre Pont;La République en Marche;En marche !
Portarrieu;OMC_PA719528;M. Jean-François Portarrieu;La République en Marche;En marche !
Potier;OMC_PA607553;M. Dominique Potier;Socialistes et apparentés;Parti socialiste
Potterie;OMC_PA720590;M. Benoit Potterie;La République en Marche;En marche !
Poueyto;OMC_PA720720;Mme Josy Poueyto;Mouvement Démocrate et apparentés;Mouvement Démocrate
Poulliat;OMC_PA719600;M. Éric Poulliat;La République en Marche;En marche !
Pouzyreff;OMC_PA721916;Mme Natalia Pouzyreff;La République en Marche;En marche !
Pradie;OMC_PA720100;M. Aurélien Pradié;Les Républicains;Les Républicains
Prud'homme;OMC_PA719578;M. Loïc Prud'homme;La France insoumise;La France Insoumise
Pueyo;OMC_PA608011;M. Joaquim Pueyo;Socialistes et apparentés;Parti socialiste
Pupponi;OMC_PA405480;M. François Pupponi;Libertés et Territoires;Parti socialiste
Quatennens;OMC_PA720422;M. Adrien Quatennens;La France insoumise;La France Insoumise
Quentin;OMC_PA2492;M. Didier Quentin;Les Républicains;Les Républicains
Questel;OMC_PA643127;M. Bruno Questel;La République en Marche;En marche !
Rabault;OMC_PA609590;Mme Valérie Rabault;Socialistes et apparentés;Parti socialiste
RaconBouzon;OMC_PA718944;Mme Cathy Racon-Bouzon;La République en Marche;En marche !
Ramadier;OMC_PA721286;M. Alain Ramadier;Les Républicains;Les Républicains
Ramassamy;OMC_PA721070;Mme Nadia Ramassamy;Les Républicains;Les Républicains
Ramos;OMC_PA720092;M. Richard Ramos;Mouvement Démocrate et apparentés;Mouvement Démocrate
Raphan;OMC_PA721888;M. Pierre-Alain Raphan;La République en Marche;En marche !
Ratenon;OMC_PA721062;M. Jean-Hugues Ratenon;La France insoumise;La France Insoumise
Rauch;OMC_PA720552;Mme Isabelle Rauch;La République en Marche;En marche !
Rebeyrotte;OMC_PA722398;M. Rémy Rebeyrotte;La République en Marche;En marche !
Reda;OMC_PA721678;M. Robin Reda;Les Républicains;Les Républicains
Reiss;OMC_PA266776;M. Frédéric Reiss;Les Républicains;Les Républicains
Reitzer;OMC_PA2529;M. Jean-Luc Reitzer;Les Républicains;Les Républicains
Renson;OMC_PA721824;M. Hugues Renson;La République en Marche;En marche !
Ressiguier;OMC_PA719676;Mme Muriel Ressiguier;La France insoumise;La France Insoumise
Reynes;OMC_PA330788;M. Bernard Reynès;Les Républicains;Les Républicains
Riester;OMC_PA335758;M. Franck Riester;Union des démocrates, radicaux et libéraux
Rilhac;OMC_PA720900;Mme Cécile Rilhac;La République en Marche;En marche !
Riotton;OMC_PA721426;Mme Véronique Riotton;La République en Marche;En marche !
Rist;OMC_PA720066;Mme Stéphanie Rist;La République en Marche;En marche !
Rixain;OMC_PA722252;Mme Marie-Pierre Rixain;La République en Marche;En marche !
RobertM;OMC_PA718810;Mme Mireille Robert;La République en Marche;En marche !
RobertT;OMC_PA610733;M. Thierry Robert;Mouvement Démocrate
Rolland;OMC_PA266808;M. Vincent Rolland;Les Républicains;Les Républicains
RomeiroDias;OMC_PA722022;Mme Laëtitia Romeiro Dias;La République en Marche;En marche !
Roseren;OMC_PA721458;M. Xavier Roseren;La République en Marche;En marche !
Rossi;OMC_PA721600;Mme Laurianne Rossi;La République en Marche;En marche !
Rouillard;OMC_PA343493;M. Gwendal Rouillard;La République en Marche;En marche !
RousselC;OMC_PA718902;M. Cédric Roussel;La République en Marche;En marche !
RousselF;OMC_PA720692;M. Fabien Roussel;Gauche démocrate et républicaine;Parti communiste français
Rubin;OMC_PA721226;Mme Sabine Rubin;La France insoumise;La France Insoumise
Rudigoz;OMC_PA722292;M. Thomas Rudigoz;La République en Marche;En marche !
Ruffin;OMC_PA722142;M. François Ruffin;La France insoumise;La France Insoumise
Rugy (de);OMC_PA332747;M. François de Rugy;En marche !
Rupin;OMC_PA721616;M. Pacôme Rupin;La République en Marche;En marche !
Saddier;OMC_PA267527;M. Martial Saddier;Les Républicains;Les Républicains
Sage;OMC_PA702052;Mme Maina Sage;UDI, Agir et Indépendants;Tapura Huiraatira
SaintMartin;OMC_PA720878;M. Laurent Saint-Martin;La République en Marche;En marche !
SaintPaul;OMC_PA720138;Mme Laetitia Saint-Paul;La République en Marche;En marche !
Sanquer;OMC_PA721110;Mme Nicole Sanquer;UDI, Agir et Indépendants;Tapura Huiraatira
Sarles;OMC_PA719972;Mme Nathalie Sarles;La République en Marche;En marche !
Sarnez (de);OMC_PA717151;Mme Marielle de Sarnez;Mouvement Démocrate et apparentés;Mouvement Démocrate
Saulignac;OMC_PA340343;M. Hervé Saulignac;Socialistes et apparentés;Parti socialiste
Savatier;OMC_PA722078;M. Jacques Savatier;La République en Marche;En marche !
Schellenberger;OMC_PA721314;M. Raphaël Schellenberger;Les Républicains;Les Républicains
Sempastous;OMC_PA720780;M. Jean-Bernard Sempastous;La République en Marche;En marche !
Sermier;OMC_PA267204;M. Jean-Marie Sermier;Les Républicains;Les Républicains
Serva;OMC_PA720960;M. Olivier Serva;La République en Marche;En marche !
Serville;OMC_PA610667;M. Gabriel Serville;Gauche démocrate et républicaine;Parti progressiste martiniquais
Simian;OMC_PA719592;M. Benoit Simian;La République en Marche;En marche !
Solere;OMC_PA346876;M. Thierry Solère;La République en Marche;En marche !
Sommer;OMC_PA719420;M. Denis Sommer;La République en Marche;En marche !
Son-Forget;OMC_PA721174;M. Joachim Son-Forget;La République en Marche;En marche !
Sorre;OMC_PA720190;M. Bertrand Sorre;La République en Marche;En marche !
Straumann;OMC_PA334654;M. Éric Straumann;Les Républicains;Les Républicains
Studer;OMC_PA720754;M. Bruno Studer;La République en Marche;En marche !
Sylla;OMC_PA722118;Mme Sira Sylla;La République en Marche;En marche !
Tabarot;OMC_PA267794;Mme Michèle Tabarot;Les Républicains;Les Républicains
Tache;OMC_PA720952;M. Aurélien Taché;La République en Marche;En marche !
Tamarelle-Verhaeghe;OMC_PA719350;Mme Marie Tamarelle-Verhaeghe;La République en Marche;En marche !
Tan;OMC_PA721690;M. Buon Tan;La République en Marche;En marche !
Tanguy;OMC_PA719550;Mme Liliana Tanguy;La République en Marche;En marche !
Taquet;OMC_PA722086;M. Adrien Taquet;La République en Marche;En marche !
Taugourdeau;OMC_PA2792;M. Jean-Charles Taugourdeau;Les Républicains;Les Républicains
Taurine;OMC_PA718860;Mme Bénédicte Taurine;La France insoumise;La France Insoumise
Teissier;OMC_PA2796;M. Guy Teissier;Les Républicains;Les Républicains
Terlier;OMC_PA721584;M. Jean Terlier;La République en Marche;En marche !
Teste;OMC_PA720854;M. Stéphane Testé;La République en Marche;En marche !
Thiebaut;OMC_PA722336;M. Vincent Thiébaut;La République en Marche;En marche !
Thill;OMC_PA720568;Mme Agnès Thill;La République en Marche;En marche !
Thillaye;OMC_PA719822;Mme Sabine Thillaye;La République en Marche;En marche !
Thomas;OMC_PA720830;Mme Valérie Thomas;La République en Marche;En marche !
Thourot;OMC_PA719302;Mme Alice Thourot;La République en Marche;En marche !
Tiegna;OMC_PA720014;Mme Huguette Tiegna;La République en Marche;En marche !
Touraine J;OMC_PA334768;M. Jean-Louis Touraine;La République en Marche;En marche !
Tourret;OMC_PA2828;M. Alain Tourret;La République en Marche;En marche !
ToututPicard;OMC_PA719540;Mme Élisabeth Toutut-Picard;La République en Marche;En marche !
TrastourIsnart;OMC_PA718780;Mme Laurence Trastour-Isnart;Les Républicains;Les Républicains
Trisse;OMC_PA720394;Mme Nicole Trisse;La République en Marche;En marche !
Trompille;OMC_PA718682;M. Stéphane Trompille;La République en Marche;En marche !
Tuffnell;OMC_PA719092;Mme Frédérique Tuffnell;La République en Marche;En marche !
Turquois;OMC_PA722162;M. Nicolas Turquois;Mouvement Démocrate et apparentés;Mouvement Démocrate
Untermaier;OMC_PA608695;Mme Cécile Untermaier;Socialistes et apparentés;Parti socialiste
VainqueurChristophe;OMC_PA643145;Mme Hélène Vainqueur-Christophe;Socialistes et apparentés;Parti progressiste martiniquais
Valentin;OMC_PA643134;Mme Isabelle Valentin;Les Républicains;Les Républicains
ValettaArdisson;OMC_PA718768;Mme Alexandra Valetta Ardisson;La République en Marche;En marche !
Vallaud;OMC_PA719930;M. Boris Vallaud;Socialistes et apparentés;Parti socialiste
Valls;OMC_PA267622;M. Manuel Valls;En marche !
Vanceunebrock-Mialon;OMC_PA718728;Mme Laurence Vanceunebrock-Mialon;La République en Marche;En marche !
Vatin;OMC_PA720586;M. Pierre Vatin;Les Républicains;Les Républicains
Vaucouleurs (de);OMC_PA721924;Mme Michèle de Vaucouleurs;Mouvement Démocrate et apparentés;Mouvement Démocrate
Veran;OMC_PA642788;M. Olivier Véran;La République en Marche;En marche !
Vercamer;OMC_PA267585;M. Francis Vercamer;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Verchere;OMC_PA334843;M. Patrice Verchère;Les Républicains;Les Républicains
VerdierJouclas;OMC_PA721542;Mme Marie-Christine Verdier-Jouclas;La République en Marche;En marche !
Verpilliere (de la);OMC_PA1012;M. Charles de la Verpillière;Les Républicains;Les Républicains
Viala;OMC_PA709315;M. Arnaud Viala;Les Républicains;Les Républicains
Vialay;OMC_PA721968;M. Michel Vialay;Les Républicains;Les Républicains
Vichnievsky;OMC_PA720704;Mme Laurence Vichnievsky;Mouvement Démocrate et apparentés;Mouvement Démocrate
Vidal;OMC_PA722102;Mme Annie Vidal;La République en Marche;En marche !
VigierJ;OMC_PA607090;M. Jean-Pierre Vigier;Les Républicains;Les Républicains
VigierP;OMC_PA331582;M. Philippe Vigier;Libertés et Territoires;Union des démocrates, radicaux et libéraux
Vignal;OMC_PA606639;M. Patrick Vignal;La République en Marche;En marche !
Vignon;OMC_PA719512;Mme Corinne Vignon;La République en Marche;En marche !
Villani;OMC_PA722260;M. Cédric Villani;La République en Marche;En marche !
VILLIERS ANDRÉ;OMC_PA421348;M. André Villiers;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Viry;OMC_PA721474;M. Stéphane Viry;Les Républicains;Les Républicains
Vuilletet;OMC_PA721262;M. Guillaume Vuilletet;La République en Marche;En marche !
Warsmann;OMC_PA2952;M. Jean-Luc Warsmann;UDI, Agir et Indépendants;Les Républicains
Waserman;OMC_PA720746;M. Sylvain Waserman;Mouvement Démocrate et apparentés;Mouvement Démocrate
Woerth;OMC_PA2960;M. Éric Woerth;Les Républicains;Les Républicains
Wonner;OMC_PA722268;Mme Martine Wonner;La République en Marche;En marche !
Wulfranc;OMC_PA722110;M. Hubert Wulfranc;Gauche démocrate et républicaine;Parti communiste français
Zannier;OMC_PA720318;Mme Hélène Zannier;La République en Marche;En marche !
Zulesi;OMC_PA718962;M. Jean-Marc Zulesi;La République en Marche;En marche !
Zumkeller;OMC_PA267330;M. Michel Zumkeller;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
