Nom_de_famille;ID_AN;Nom;Groupe;Parti ou groupement politique
Brenier;OMC_PA713448;Mme Marine Brenier;Les Républicains;Les Républicains
Breton;OMC_PA330008;M. Xavier Breton;Les Républicains;Les Républicains
BricoutG;OMC_PA267766;M. Guy Bricout;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
BricoutJ;OMC_PA605069;M. Jean-Louis Bricout;Socialistes et apparentés;Parti socialiste
Bridey;OMC_PA672;M. Jean-Jacques Bridey;La République en Marche;En marche !
Brocard;OMC_PA721336;Mme Blandine Brocard;La République en Marche;En marche !
Brochand;OMC_PA223837;M. Bernard Brochand;Les Républicains;Les Républicains
Brotherson;OMC_PA721118;M. Moetai Brotherson;Gauche démocrate et républicaine;Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie
Bru;OMC_PA720772;M. Vincent Bru;Mouvement Démocrate et apparentés;Mouvement Démocrate
Brugnera;OMC_PA721328;Mme Anne Brugnera;La République en Marche;En marche !
Brulebois;OMC_PA719890;Mme Danielle Brulebois;La République en Marche;En marche !
Brun;OMC_PA718838;M. Fabrice Brun;Les Républicains;Les Républicains
Bruneel;OMC_PA720546;M. Alain Bruneel;Gauche démocrate et républicaine;Parti communiste français
Brunet;OMC_PA720116;Mme Anne-France Brunet;La République en Marche;En marche !
Buchou;OMC_PA722000;M. Stéphane Buchou;La République en Marche;En marche !
Buffet;OMC_PA689;Mme Marie-George Buffet;Gauche démocrate et républicaine;Parti communiste français
BureauBonnard;OMC_PA720622;Mme Carole Bureau-Bonnard;La République en Marche;En marche !
Cabare;OMC_PA719496;M. Pierre Cabaré;La République en Marche;En marche !
Calvez;OMC_PA721750;Mme Céline Calvez;La République en Marche;En marche !
Cariou;OMC_PA720298;Mme Émilie Cariou;La République en Marche;En marche !
Carrez;OMC_PA746;M. Gilles Carrez;Les Républicains;Les Républicains
CARVOUNAS_LUC_11032E;OMC_PA429893;M. Luc Carvounas;Socialistes et apparentés;Parti socialiste
Castellani;OMC_PA719138;M. Michel Castellani;Libertés et Territoires;Régions et peuples solidaires
Cattelot;OMC_PA720520;Mme Anne-Laure Cattelot;La République en Marche;En marche !
Cattin;OMC_PA767;M. Jacques Cattin;Les Républicains;Les Républicains
Causse;OMC_PA719922;M. Lionel Causse;La République en Marche;En marche !
Cazarian;OMC_PA721352;Mme Danièle Cazarian;La République en Marche;En marche !
Cazebonne;OMC_PA721166;Mme Samantha Cazebonne;La République en Marche;En marche !
Cazeneuve;OMC_PA719472;M. Jean-René Cazeneuve;La République en Marche;En marche !
Cazenove;OMC_PA720814;M. Sébastien Cazenove;La République en Marche;En marche !
Cellier;OMC_PA719440;M. Anthony Cellier;La République en Marche;En marche !
Cesarini;OMC_PA721860;M. Jean-François Cesarini;La République en Marche;En marche !
Chalas;OMC_PA719748;Mme Émilie Chalas;La République en Marche;En marche !
Chalumeau;OMC_PA719790;M. Philippe Chalumeau;La République en Marche;En marche !
Chapelier;OMC_PA719448;Mme Annie Chapelier;La République en Marche;En marche !
Charriere;OMC_PA721218;Mme Sylvie Charrière;La République en Marche;En marche !
Charvier;OMC_PA719170;Mme Fannette Charvier;La République en Marche;En marche !
Chassaigne;OMC_PA267306;M. André Chassaigne;Gauche démocrate et républicaine;Parti communiste français
Chassaing;OMC_PA719250;M. Philippe Chassaing;La République en Marche;En marche !
Chenu;OMC_PA720468;M. Sébastien Chenu;Non inscrit;Front National
Cherpion;OMC_PA856;M. Gérard Cherpion;Les Républicains;Les Républicains
Chiche;OMC_PA722126;M. Guillaume Chiche;La République en Marche;En marche !
Christophe;OMC_PA642868;M. Paul Christophe;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Cinieri;OMC_PA267429;M. Dino Cinieri;Les Républicains;Les Républicains
Ciotti;OMC_PA330240;M. Éric Ciotti;Les Républicains;Les Républicains
Claireaux;OMC_PA702054;M. Stéphane Claireaux;La République en Marche;Cap sur l'avenir
Clapot;OMC_PA719294;Mme Mireille Clapot;La République en Marche;En marche !
Clement;OMC_PA336439;M. Jean-Michel Clément;Libertés et Territoires;En marche !
Cloarec;OMC_PA719756;Mme Christine Cloarec;La République en Marche;En marche !
ColasRoy;OMC_PA719740;M. Jean-Charles Colas-Roy;La République en Marche;En marche !
Colboc;OMC_PA719814;Mme Fabienne Colboc;La République en Marche;En marche !
Collard;OMC_PA606212;M. Gilbert Collard;Non inscrit;Front National
Colombani;OMC_PA719286;M. Paul-André Colombani;Libertés et Territoires;Régions et peuples solidaires
Coquerel;OMC_PA721202;M. Éric Coquerel;La France insoumise;La France Insoumise
Corbiere;OMC_PA721210;M. Alexis Corbière;La France insoumise;La France Insoumise
Cordier;OMC_PA718850;M. Pierre Cordier;Les Républicains;Les Républicains
CormierBouligeon;OMC_PA719118;M. François Cormier-Bouligeon;La République en Marche;En marche !
Corneloup;OMC_PA722390;Mme Josiane Corneloup;Les Républicains;Les Républicains
CornutGentille;OMC_PA923;M. François Cornut-Gentille;Les Républicains;Les Républicains
Couillard;OMC_PA719624;Mme Bérangère Couillard;La République en Marche;En marche !
Courson (de);OMC_PA942;M. Charles de Courson;Libertés et Territoires;Union des démocrates, radicaux et libéraux
Courson (de)Y;OMC_PA719194;Mme Yolaine de Courson;La République en Marche;En marche !
Crouzet;OMC_PA721808;Mme Michèle Crouzet;La République en Marche;En marche !
Cubertafon;OMC_PA719266;M. Jean-Pierre Cubertafon;Mouvement Démocrate et apparentés;Mouvement Démocrate
Dalloz;OMC_PA332523;Mme Marie-Christine Dalloz;Les Républicains;Les Républicains
Damaisin;OMC_PA720268;M. Olivier Damaisin;La République en Marche;En marche !
Daniel;OMC_PA607155;M. Yves Daniel;La République en Marche;En marche !
DaSilva;OMC_PA720932;M. Dominique Da Silva;La République en Marche;En marche !
Dassault;OMC_PA998;M. Olivier Dassault;Les Républicains;Les Républicains
DavidA;OMC_PA1008;M. Alain David;Socialistes et apparentés;Parti socialiste
DavidD;OMC_PA719710;Mme Dominique David;La République en Marche;En marche !
Deflesselles;OMC_PA1029;M. Bernard Deflesselles;Les Républicains;Les Républicains
Degois;OMC_PA721398;Mme Typhanie Degois;La République en Marche;En marche !
DelatteM;OMC_PA718694;M. Marc Delatte;La République en Marche;En marche !
DelatteR;OMC_PA267450;M. Rémi Delatte;Les Républicains;Les Républicains
Delpon;OMC_PA719258;M. Michel Delpon;La République en Marche;En marche !
Demilly;OMC_PA267241;M. Stéphane Demilly;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Demoulin;OMC_PA719830;M. Nicolas Démoulin;La République en Marche;En marche !
DeprezAudebert;OMC_PA720598;Mme Marguerite Deprez-Audebert;Mouvement Démocrate et apparentés;Mouvement Démocrate
Descamps;OMC_PA720696;Mme Béatrice Descamps;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Descoeur;OMC_PA330909;M. Vincent Descoeur;Les Républicains;Les Républicains
Descrozaille;OMC_PA720862;M. Frédéric Descrozaille;La République en Marche;En marche !
DeTemmerman;OMC_PA720538;Mme Jennifer De Temmerman;La République en Marche;En marche !
Dharreville;OMC_PA718926;M. Pierre Dharréville;Gauche démocrate et républicaine;Parti communiste français
Diard;OMC_PA267440;M. Éric Diard;Les Républicains;Les Républicains
DiFilippo;OMC_PA720386;M. Fabien Di Filippo;Les Républicains;Les Républicains
DiPompeo;OMC_PA720438;M. Christophe Di Pompeo;La République en Marche;En marche !
Dirx;OMC_PA722382;M. Benjamin Dirx;La République en Marche;En marche !
Dive;OMC_PA712015;M. Julien Dive;Les Républicains;Les Républicains
Djebbari;OMC_PA722236;M. Jean-Baptiste Djebbari;La République en Marche;En marche !
Do;OMC_PA721718;Mme Stéphanie Do;La République en Marche;En marche !
Dombreval;OMC_PA718894;M. Loïc Dombreval;La République en Marche;En marche !
Door;OMC_PA267289;M. Jean-Pierre Door;Les Républicains;Les Républicains
Dubie;OMC_PA608292;Mme Jeanine Dubié;Libertés et Territoires;Parti radical de gauche
DuboisJ;OMC_PA719162;Mme Jacqueline Dubois;La République en Marche;En marche !
DuboisM;OMC_PA342935;Mme Marianne Dubois;Les Républicains;Les Républicains
Dubost;OMC_PA719684;Mme Coralie Dubost;La République en Marche;En marche !
DubreChirat;OMC_PA720154;Mme Nicole Dubré-Chirat;La République en Marche;En marche !
DubyMuller;OMC_PA608826;Mme Virginie Duby-Muller;Les Républicains;Les Républicains
DufeuSchubert;OMC_PA720046;Mme Audrey Dufeu Schubert;La République en Marche;En marche !
Dufregne;OMC_PA718720;M. Jean-Paul Dufrègne;Gauche démocrate et républicaine;Parti communiste français
DumasA;OMC_PA606202;Mme Françoise Dumas;La République en Marche;En marche !
DumasE;OMC_PA721194;Mme Frédérique Dumas;UDI, Agir et Indépendants;En marche !
DumontL;OMC_PA1198;Mme Laurence Dumont;Socialistes et apparentés;Parti socialiste
DumontP;OMC_PA720684;M. Pierre-Henri Dumont;Les Républicains;Les Républicains
Dunoyer;OMC_PA721094;M. Philippe Dunoyer;UDI, Agir et Indépendants;Calédonie Ensemble
Dupont;OMC_PA643175;Mme Stella Dupont;La République en Marche;En marche !
DupontAignan;OMC_PA1206;M. Nicolas Dupont-Aignan;Non inscrit;Debout la France
Dussopt;OMC_PA330357;M. Olivier Dussopt;Parti socialiste
Duverge;OMC_PA720652;M. Bruno Duvergé;Mouvement Démocrate et apparentés;Mouvement Démocrate
ElGuerrab;OMC_PA720996;M. M'jid El Guerrab;Libertés et Territoires;Parti radical de gauche
ElHairy;OMC_PA720002;Mme Sarah El Haïry;Mouvement Démocrate et apparentés;Mouvement Démocrate
Eliaou;OMC_PA719692;M. Jean-François Eliaou;La République en Marche;En marche !
Elimas;OMC_PA720924;Mme Nathalie Elimas;Mouvement Démocrate et apparentés;Mouvement Démocrate
Errante;OMC_PA607193;Mme Sophie Errante;La République en Marche;En marche !
Essayan;OMC_PA719044;Mme Nadia Essayan;Mouvement Démocrate et apparentés;Mouvement Démocrate
Euzet;OMC_PA719616;M. Christophe Euzet;La République en Marche;En marche !
Evrard;OMC_PA720664;M. José Evrard;Non inscrit;Non déclaré(s)
Fabre;OMC_PA719570;Mme Catherine Fabre;La République en Marche;En marche !
Fajgeles;OMC_PA721564;Mme Élise Fajgeles;La République en Marche;En marche !
Falorni;OMC_PA605694;M. Olivier Falorni;Libertés et Territoires;Parti radical de gauche
Fanget;OMC_PA1276;M. Michel Fanget;Mouvement Démocrate et apparentés;Mouvement Démocrate
Fasquelle;OMC_PA334149;M. Daniel Fasquelle;Les Républicains;Les Républicains
Faucillon;OMC_PA721896;Mme Elsa Faucillon;Gauche démocrate et républicaine;Parti communiste français
Faure;OMC_PA609332;M. Olivier Faure;Socialistes et apparentés;Parti socialiste
FaureMuntian;OMC_PA719960;Mme Valéria Faure-Muntian;La République en Marche;En marche !
Fauvergue;OMC_PA721702;M. Jean-Michel Fauvergue;La République en Marche;En marche !
FavennecBecot;OMC_PA267042;M. Yannick Favennec Becot;Libertés et Territoires;Union des démocrates, radicaux et libéraux
Ferrand;OMC_PA606171;M. Richard Ferrand;La République en Marche;En marche !
Ferrara;OMC_PA643103;M. Jean-Jacques Ferrara;Les Républicains;Les Républicains
Fiat;OMC_PA720286;Mme Caroline Fiat;La France insoumise;La France Insoumise
Fievet;OMC_PA722134;M. Jean-Marie Fiévet;La République en Marche;En marche !
FirminLeBodo;OMC_PA267780;Mme Agnès Firmin Le Bodo;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Florennes;OMC_PA721742;Mme Isabelle Florennes;Mouvement Démocrate et apparentés;Mouvement Démocrate
Folliot;OMC_PA267673;M. Philippe Folliot;La République en Marche;En marche !
Fontaine-Domeizel;OMC_PA718706;Mme Emmanuelle Fontaine-Domeizel;La République en Marche;En marche !
FontenelPersonne;OMC_PA721384;Mme Pascale Fontenel-Personne;La République en Marche;En marche !
Forissier;OMC_PA1327;M. Nicolas Forissier;Les Républicains;Les Républicains
Forteza;OMC_PA721142;Mme Paula Forteza;La République en Marche;En marche !
Freschi;OMC_PA720030;M. Alexandre Freschi;La République en Marche;En marche !
Fuchs;OMC_PA722284;M. Bruno Fuchs;Mouvement Démocrate et apparentés;Mouvement Démocrate
Fugit;OMC_PA722366;M. Jean-Luc Fugit;La République en Marche;En marche !
Furst;OMC_PA266774;M. Laurent Furst;Les Républicains;Les Républicains
Gaillard;OMC_PA719480;M. Olivier Gaillard;La République en Marche;En marche !
Gaillot;OMC_PA721246;Mme Albane Gaillot;La République en Marche;En marche !
Gallerneau;OMC_PA721992;Mme Patricia Gallerneau;Mouvement Démocrate et apparentés;Mouvement Démocrate
Ganay (de);OMC_PA267735;M. Claude de Ganay;Les Républicains;Les Républicains
Garcia;OMC_PA720178;M. Laurent Garcia;Mouvement Démocrate et apparentés;Mouvement Démocrate
Garot;OMC_PA333285;M. Guillaume Garot;Socialistes et apparentés;Parti socialiste
Gassilloud;OMC_PA722358;M. Thomas Gassilloud;La République en Marche;En marche !
Gaultier;OMC_PA267324;M. Jean-Jacques Gaultier;Les Républicains;Les Républicains
Gauvain;OMC_PA721364;M. Raphaël Gauvain;La République en Marche;En marche !
Gayte;OMC_PA720806;Mme Laurence Gayte;La République en Marche;En marche !
Genetet;OMC_PA721024;Mme Anne Genetet;La République en Marche;En marche !
Genevard;OMC_PA605991;Mme Annie Genevard;Les Républicains;Les Républicains
Gerard;OMC_PA719108;M. Raphaël Gérard;La République en Marche;En marche !
Gipson;OMC_PA719326;Mme Séverine Gipson;La République en Marche;En marche !
GirardinE;OMC_PA720222;M. Éric Girardin;La République en Marche;En marche !
Giraud;OMC_PA267336;M. Joël Giraud;La République en Marche;En marche !
Givernet;OMC_PA718674;Mme Olga Givernet;La République en Marche;En marche !
Goasguen;OMC_PA1498;M. Claude Goasguen;Les Républicains;Les Républicains
Gomes;OMC_PA610775;M. Philippe Gomès;UDI, Agir et Indépendants;Calédonie Ensemble
GomezBassac;OMC_PA721784;Mme Valérie Gomez-Bassac;La République en Marche;En marche !
Gosselin;OMC_PA266797;M. Philippe Gosselin;Les Républicains;Les Républicains
GouffierCha;OMC_PA721296;M. Guillaume Gouffier-Cha;La République en Marche;En marche !
Goulet;OMC_PA720560;Mme Perrine Goulet;La République en Marche;En marche !
Gouttefarde;OMC_PA719330;M. Fabien Gouttefarde;La République en Marche;En marche !
Grandjean;OMC_PA720170;Mme Carole Grandjean;La République en Marche;En marche !
Granjus;OMC_PA722062;Mme Florence Granjus;La République en Marche;En marche !
Grau;OMC_PA720790;M. Romain Grau;La République en Marche;En marche !
Gregoire;OMC_PA721764;Mme Olivia Gregoire;La République en Marche;En marche !
Grelier;OMC_PA267318;M. Jean-Carles Grelier;Les Républicains;Les Républicains
Guerel;OMC_PA721792;Mme Émilie Guerel;La République en Marche;En marche !
Guerini;OMC_PA721498;M. Stanislas Guerini;La République en Marche;En marche !
Guevenoux;OMC_PA721880;Mme Marie Guévenoux;La République en Marche;En marche !
GuionFirmin;OMC_PA721126;Mme Claire Guion-Firmin;Les Républicains;Les Républicains
HabibD;OMC_PA1592;M. David Habib;Socialistes et apparentés;Parti socialiste
HabibM;OMC_PA695100;M. Meyer Habib;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Hai;OMC_PA722054;Mme Nadia Hai;La République en Marche;En marche !
Hammerer;OMC_PA719652;Mme Véronique Hammerer;La République en Marche;En marche !
Hammouche;OMC_PA720326;M. Brahim Hammouche;Mouvement Démocrate et apparentés;Mouvement Démocrate
Haury;OMC_PA720054;M. Yannick Haury;La République en Marche;En marche !
Hennion;OMC_PA722094;Mme Christine Hennion;La République en Marche;En marche !
Henriet;OMC_PA722070;M. Pierre Henriet;La République en Marche;En marche !
Herbillon;OMC_PA1630;M. Michel Herbillon;Les Républicains;Les Républicains
Herin;OMC_PA718794;Mme Danièle Hérin;La République en Marche;En marche !
Herth;OMC_PA267355;M. Antoine Herth;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Hetzel;OMC_PA608416;M. Patrick Hetzel;Les Républicains;Les Républicains
Holroyd;OMC_PA721150;M. Alexandre Holroyd;La République en Marche;En marche !
Houbron;OMC_PA720454;M. Dimitri Houbron;La République en Marche;En marche !
Houlie;OMC_PA722150;M. Sacha Houlié;La République en Marche;En marche !
Huppe;OMC_PA719700;M. Philippe Huppé;La République en Marche;En marche !
Hutin;OMC_PA333818;M. Christian Hutin;Socialistes et apparentés;Parti socialiste
Huyghe;OMC_PA267200;M. Sébastien Huyghe;Les Républicains;Les Républicains
Iborra;OMC_PA331835;Mme Monique Iborra;La République en Marche;En marche !
IsaacSibille;OMC_PA722374;M. Cyrille Isaac-Sibille;Mouvement Démocrate et apparentés;Mouvement Démocrate
Jacob;OMC_PA1695;M. Christian Jacob;Les Républicains;Les Républicains
Jacques;OMC_PA720354;M. Jean-Michel Jacques;La République en Marche;En marche !
JacquierLaforge;OMC_PA719874;Mme Élodie Jacquier-Laforge;Mouvement Démocrate et apparentés;Mouvement Démocrate
Janvier;OMC_PA720074;Mme Caroline Janvier;La République en Marche;En marche !
Jego;OMC_PA267801;M. Yves Jégo;Union des démocrates, radicaux et libéraux
Jerretie;OMC_PA719060;M. Christophe Jerretie;La République en Marche;En marche !
Jolivet;OMC_PA719778;M. François Jolivet;La République en Marche;En marche !
Joncour;OMC_PA719210;M. Bruno Joncour;Mouvement Démocrate et apparentés;Mouvement Démocrate
Josso;OMC_PA720038;Mme Sandrine Josso;La République en Marche;En marche !
Juanico;OMC_PA332614;M. Régis Juanico;Socialistes et apparentés;Parti socialiste
JulienLaferriere;OMC_PA722344;M. Hubert Julien-Laferrière;La République en Marche;En marche !
Jumel;OMC_PA722202;M. Sébastien Jumel;Gauche démocrate et républicaine;Parti communiste français
Kamardine;OMC_PA267901;M. Mansour Kamardine;Les Républicains;Les Républicains
Kamowski;OMC_PA719994;Mme Catherine Kamowski;La République en Marche;En marche !
Karamanli;OMC_PA335054;Mme Marietta Karamanli;Socialistes et apparentés;Parti socialiste
Kasbarian;OMC_PA719372;M. Guillaume Kasbarian;La République en Marche;En marche !
Kerbarh;OMC_PA721514;Mme Stéphanie Kerbarh;La République en Marche;En marche !
Kerlogot;OMC_PA719230;M. Yannick Kerlogot;La République en Marche;En marche !
Kervran;OMC_PA719052;M. Loïc Kervran;La République en Marche;En marche !
