Nom;Prénom;Groupe;Parti ou groupement politique
Tuaiva;Jean-Paul;UDI;Tahoeraa Huiraatira
Untermaier;Cécile;SRC;Parti socialiste
Urvoas;Jean-Jacques;SRC;Parti socialiste
Vaillant;Daniel;SRC;Parti socialiste
Valax;Jacques;SRC;Parti socialiste
Valter;Clotilde;SRC;Parti socialiste
Vannson;François;UMP;Union pour un Mouvement Populaire
Vautrin;Catherine;UMP;Union pour un Mouvement Populaire
Vauzelle;Michel;SRC;Parti socialiste
Véran;Olivier;SRC;Parti socialiste
Vercamer;Francis;UDI;Association PSLE - Nouveau Centre
Verchère;Patrice;UMP;Union pour un Mouvement Populaire
Verdier;Fabrice;SRC;Parti socialiste
Vergnier;Michel;SRC;Parti socialiste
Vialatte;Jean-Sébastien;UMP;Union pour un Mouvement Populaire
Vigier;Philippe;UDI;Union des radicaux centristes, indépendants et démocrates
Vigier;Jean-Pierre;app.UMP;Union pour un Mouvement Populaire
Vignal;Patrick;SRC;Parti socialiste
Villain;François-Xavier;UDI;Union des radicaux centristes, indépendants et démocrates
Villaumé;Jean-Michel;SRC;Parti socialiste
Vitel;Philippe;UMP;Union pour un Mouvement Populaire
Vlody;Jean Jacques;SRC;Parti socialiste
Voisin;Michel;UMP;Union pour un Mouvement Populaire
Warsmann;Jean-Luc;UMP;Union pour un Mouvement Populaire
Wauquiez;Laurent;UMP;Union pour un Mouvement Populaire
Woerth;Éric;UMP;Union pour un Mouvement Populaire
Zanetti;Paola;SRC;Parti socialiste
Zimmermann;Marie-Jo;UMP;Union pour un Mouvement Populaire
Zumkeller;Michel;UDI;Union des radicaux centristes, indépendants et démocrates
