Nom;Prénom;Groupe;Parti ou groupement politique
Peiro;Germinal;Socialiste, républicain et citoyen;Parti socialiste
Pélissard;Jacques;Les Républicains;Les Républicains
Pellois;Hervé;Socialiste, républicain et citoyen;Parti socialiste
Perez;Jean-Claude;Socialiste, républicain et citoyen;Parti socialiste
Perrut;Bernard;Les Républicains;Les Républicains
Philippe;Edouard;Les Républicains;Les Républicains
Pietrasanta;Sébastien;Socialiste, républicain et citoyen;Parti socialiste
Pires Beaune;Christine;Socialiste, républicain et citoyen;Parti socialiste
Piron;Michel;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Plisson;Philippe;Socialiste, républicain et citoyen;Parti socialiste
Pochon;Elisabeth;Socialiste, républicain et citoyen;Parti socialiste
Poisson;Jean-Frédéric;Les Républicains;Les Républicains
Poletti;Bérengère;Les Républicains;Les Républicains
Polutélé ;Napole;Socialiste, républicain et citoyen;Parti socialiste
Pompili;Barbara;Écologiste;Parti socialiste
Poniatowski;Axel;Les Républicains;Les Républicains
Pons;Josette;Les Républicains;Les Républicains
Popelin;Pascal;Socialiste, républicain et citoyen;Parti socialiste
Potier;Dominique;Socialiste, républicain et citoyen;Parti socialiste
Pouzol;Michel;Socialiste, républicain et citoyen;Parti socialiste
Povéda;Régine;Socialiste, républicain et citoyen;Parti socialiste
Prat;Patrice;Socialiste, républicain et citoyen;Parti socialiste
Premat;Christophe;Socialiste, républicain et citoyen;Parti socialiste
Priou;Christophe;Les Républicains;Les Républicains
Pueyo;Joaquim;Socialiste, républicain et citoyen;Parti socialiste
Pupponi;François;Socialiste, républicain et citoyen;Parti socialiste
Quentin;Didier;Les Républicains;Les Républicains
Quéré;Catherine;Socialiste, républicain et citoyen;Parti socialiste
Rabault;Valérie;Socialiste, républicain et citoyen;Parti socialiste
Rabin;Monique;Socialiste, républicain et citoyen;Parti socialiste
Raimbourg;Dominique;Socialiste, républicain et citoyen;Parti socialiste
Récalde;Marie;Socialiste, républicain et citoyen;Parti socialiste
Reiss;Frédéric;Les Républicains;Les Républicains
Reitzer;Jean-Luc;Les Républicains;Les Républicains
Reynaud;Marie-Line;Socialiste, républicain et citoyen;Parti socialiste
Reynès;Bernard;Les Républicains;Les Républicains
Reynier;Franck;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Ribeaud;Pierre;Socialiste, républicain et citoyen;Parti socialiste
Richard;Arnaud;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Riester;Franck;Les Républicains;Les Républicains
Rihan Cypel;Eduardo;Socialiste, républicain et citoyen;Parti socialiste
Robert ;Thierry;Radical, républicain, démocrate et progressiste;La politique autrement
Robiliard;Denys;Socialiste, républicain et citoyen;Parti socialiste
Robinet;Arnaud;Les Républicains;Les Républicains
Rocca Serra (de);Camille;Les Républicains;Les Républicains
Rochebloine;François;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Rodet;Alain;Socialiste, républicain et citoyen;Parti socialiste
Rogemont;Marcel;Socialiste, républicain et citoyen;Parti socialiste
Rohfritsch;Sophie;Les Républicains;Les Républicains
Roig;Frédéric;Socialiste, républicain et citoyen;Parti socialiste
Romagnan;Barbara;Socialiste, républicain et citoyen;Parti socialiste
Roman;Bernard;Socialiste, républicain et citoyen;Parti socialiste
Rouillard;Gwendal;Socialiste, républicain et citoyen;Parti socialiste
Roumegas;Jean-Louis;Écologiste;Europe Ecologie Les Verts
Rouquet;René;Socialiste, républicain et citoyen;Parti socialiste
Rousset;Alain;Socialiste, républicain et citoyen;Parti socialiste
Rugy (de);François;Écologiste;Parti socialiste
Saddier;Martial;Les Républicains;Les Républicains
Sage;Maina;Union des démocrates et indépendants;Rautahi - Rassemblement pour la Polynésie française
Said;Boinali;Socialiste, républicain et citoyen;Parti socialiste
Saint-André;Stéphane;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Salen;Paul;Les Républicains;Les Républicains
Salles;Rudy;Union des démocrates et indépendants;Association PSLE - Nouveau Centre
Sansu;Nicolas;Gauche démocrate et républicaine;Parti communiste français
Santais;Béatrice;Socialiste, républicain et citoyen;Parti socialiste
Santini;André;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Sas;Eva;Écologiste;Europe Ecologie Les Verts
Saugues;Odile;Socialiste, républicain et citoyen;Parti socialiste
Sauvadet;François;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Sauvan;Gilbert;Socialiste, républicain et citoyen;Parti socialiste
Savary;Gilles;Socialiste, républicain et citoyen;Parti socialiste
Scellier;François;Les Républicains;Les Républicains
Schmid;Claudine;Les Républicains;Les Républicains
Schneider;André;Les Républicains;Les Républicains
Schwartzenberg;Roger-Gérard;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Sebaoun;Gérard;Socialiste, républicain et citoyen;Parti socialiste
Sermier;Jean-Marie;Les Républicains;Les Républicains
Serville ;Gabriel;Gauche démocrate et républicaine;Parti socialiste Guyanais
Siré;Fernand;Les Républicains;Les Républicains
Sirugue;Christophe;Socialiste, républicain et citoyen;Parti socialiste
Solère;Thierry;Les Républicains;Les Républicains
Sommaruga;Julie;Socialiste, républicain et citoyen;Parti socialiste
Sordi;Michel;Les Républicains;Les Républicains
Straumann;Éric;Les Républicains;Les Républicains
Sturni;Claude;Les Républicains;Les Républicains
Suguenot;Alain;Les Républicains;Les Républicains
Tabarot;Michèle;Les Républicains;Les Républicains
Tahuaitu ;Jonas;Union des démocrates et indépendants;Tahoeraa Huiraatira
Tallard;Suzanne;Socialiste, républicain et citoyen;Parti socialiste
Tardy ;Lionel;Les Républicains;Les Républicains
Taugourdeau;Jean-Charles;Les Républicains;Les Républicains
Teissier;Guy;Les Républicains;Les Républicains
Terrasse;Pascal;Socialiste, républicain et citoyen;Parti socialiste
Terrot;Michel;Les Républicains;Les Républicains
Tetart;Jean-Marie;Les Républicains;Les Républicains
Thévenoud;Thomas;Non inscrit;Parti radical de gauche
Tian;Dominique;Les Républicains;Les Républicains
Tolmont;Sylvie;Socialiste, républicain et citoyen;Parti socialiste
Touraine ;Jean-Louis;Socialiste, républicain et citoyen;Parti socialiste
Tourret;Alain;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Travert;Stéphane;Socialiste, républicain et citoyen;Parti socialiste
Troallic;Catherine;Socialiste, républicain et citoyen;Parti socialiste
Tuaiva ;Jean-Paul;Union des démocrates et indépendants;Rautahi - Rassemblement pour la Polynésie française
Untermaier;Cécile;Socialiste, républicain et citoyen;Parti socialiste
Urvoas;Jean-Jacques;Socialiste, républicain et citoyen;Parti socialiste
Vaillant;Daniel;Socialiste, républicain et citoyen;Parti socialiste
Valax;Jacques;Socialiste, républicain et citoyen;Parti socialiste
Vannson;François;Les Républicains;Les Républicains
Vautrin;Catherine;Les Républicains;Les Républicains
Vauzelle;Michel;Socialiste, républicain et citoyen;Parti socialiste
Vercamer;Francis;Union des démocrates et indépendants;Association PSLE - Nouveau Centre
Verchère;Patrice;Les Républicains;Les Républicains
Verdier;Fabrice;Socialiste, républicain et citoyen;Parti socialiste
Vergnier;Michel;Socialiste, républicain et citoyen;Parti socialiste
Viala;Arnaud;Les Républicains;Les Républicains
Vialatte;Jean-Sébastien;Les Républicains;Les Républicains
Vigier;Jean-Pierre;Les Républicains;Les Républicains
Vigier;Philippe;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Vignal;Patrick;Socialiste, républicain et citoyen;Parti socialiste
Villain;François-Xavier;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Villaumé;Jean-Michel;Socialiste, républicain et citoyen;Parti socialiste
Vitel;Philippe;Les Républicains;Les Républicains
Vlody ;Jean Jacques;Socialiste, républicain et citoyen;Parti socialiste
Voisin;Michel;Les Républicains;Les Républicains
Warsmann;Jean-Luc;Les Républicains;Les Républicains
Wauquiez;Laurent;Les Républicains;Les Républicains
Woerth;Éric;Les Républicains;Les Républicains
Zanetti;Paola;Socialiste, républicain et citoyen;Parti socialiste
Zimmermann;Marie-Jo;Les Républicains;Les Républicains
Zumkeller;Michel;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
