Nom;Prénom;Groupe;Parti ou groupement politique
Abad;Damien;Les Républicains;Les Républicains
Abeille;Laurence;Écologiste;Europe Ecologie Les Verts
Aboubacar;Ibrahim;Socialiste, républicain et citoyen;Parti socialiste
Aboud;Élie;Les Républicains;Les Républicains
Accoyer;Bernard;Les Républicains;Les Républicains
Adam;Patricia;Socialiste, républicain et citoyen;Parti socialiste
Alaux;Sylviane;Socialiste, républicain et citoyen;Parti socialiste
Alauzet;Éric;Écologiste;Europe Ecologie Les Verts
Albarello;Yves;Les Républicains;Les Républicains
Allain;Brigitte;Écologiste;Europe Ecologie Les Verts
Allossery;Jean-Pierre;Socialiste, républicain et citoyen;Parti socialiste
Ameline;Nicole;Les Républicains;Les Républicains
Amirshahi;Pouria;Socialiste, républicain et citoyen;Parti socialiste
André;François;Socialiste, républicain et citoyen;Parti socialiste
Andrieux;Sylvie;Non inscrit;Non rattachée
Apparu;Benoist;Les Républicains;Les Républicains
Appéré;Nathalie;Socialiste, républicain et citoyen;Parti socialiste
Arif;Kader;Socialiste, républicain et citoyen;Parti socialiste
Arribagé;Laurence;Les Républicains;Les Républicains
Asensi;François;Gauche démocrate et républicaine;Forces de Gauche
Assaf;Christian;Socialiste, républicain et citoyen;Parti socialiste
Attard;Isabelle;Écologiste;Europe Ecologie Les Verts
Aubert;Julien;Les Républicains;Les Républicains
Audibert Troin;Olivier;Les Républicains;Les Républicains
Auroi;Danielle;Écologiste;Europe Ecologie Les Verts
Aylagas;Pierre;Socialiste, républicain et citoyen;Parti socialiste
Ayrault;Jean-Marc;Socialiste, républicain et citoyen;Parti socialiste
Azerot ;Bruno Nestor;Gauche démocrate et républicaine;Mouvement initiative populaire
Bachelay;Alexis;Socialiste, républicain et citoyen;Parti socialiste
Bachelay;Guillaume;Socialiste, républicain et citoyen;Parti socialiste
Bacquet;Jean-Paul;Socialiste, républicain et citoyen;Parti socialiste
Baert;Dominique;Socialiste, républicain et citoyen;Parti socialiste
Bailliart;Guy;Socialiste, républicain et citoyen;Parti socialiste
Balkany;Patrick;Les Républicains;Les Républicains
Bapt;Gérard;Socialiste, républicain et citoyen;Parti socialiste
Barbier;Frédéric;Socialiste, républicain et citoyen;Parti socialiste
Barbier;Jean-Pierre;Les Républicains;Les Républicains
Bardy;Serge;Socialiste, républicain et citoyen;Parti socialiste
Bareigts ;Ericka;Socialiste, républicain et citoyen;Parti socialiste
Bartolone;Claude;Socialiste, républicain et citoyen;Parti socialiste
Bataille ;Christian;Socialiste, républicain et citoyen;Parti socialiste
Batho;Delphine;Socialiste, républicain et citoyen;Parti socialiste
Battistel;Marie-Noëlle;Socialiste, républicain et citoyen;Parti socialiste
Baumel;Laurent;Socialiste, républicain et citoyen;Parti socialiste
Baumel;Philippe;Socialiste, républicain et citoyen;Parti socialiste
Baupin;Denis;Écologiste;Europe Ecologie Les Verts
Bays;Nicolas;Socialiste, républicain et citoyen;Parti socialiste
Beaubatie;Catherine;Socialiste, républicain et citoyen;Parti socialiste
Bechtel;Marie-Françoise;Socialiste, républicain et citoyen;Parti radical de gauche
Beffara;Jean-Marie;Socialiste, républicain et citoyen;Parti socialiste
Bello;Huguette;Gauche démocrate et républicaine;Pour la Réunion, de toutes nos forces
Belot;Luc;Socialiste, républicain et citoyen;Parti socialiste
Bénisti;Jacques Alain;Les Républicains;Les Républicains
Benoit;Thierry;Union des démocrates et indépendants;Union des Radicaux, centristes, indépendants et démocrates
Berger;Karine;Socialiste, républicain et citoyen;Parti socialiste
Berrios;Sylvain;Les Républicains;Les Républicains
Berthelot ;Chantal;Socialiste, républicain et citoyen;Parti socialiste Guyanais
Bertrand ;Xavier;Les Républicains;Les Républicains
Besse;Véronique;Non inscrit;Debout la France (Debout la République)
Biémouret;Gisèle;Socialiste, républicain et citoyen;Parti socialiste
Bies;Philippe;Socialiste, républicain et citoyen;Parti socialiste
Binet;Erwann;Socialiste, républicain et citoyen;Parti socialiste
Blanc ;Étienne;Les Républicains;Les Républicains
Blazy;Jean-Pierre;Socialiste, républicain et citoyen;Parti socialiste
Blein;Yves;Socialiste, républicain et citoyen;Parti socialiste
Bleunven;Jean-Luc;Socialiste, républicain et citoyen;Parti socialiste
Bloche;Patrick;Socialiste, républicain et citoyen;Parti socialiste
Bocquet;Alain;Gauche démocrate et républicaine;Parti communiste français
Boisserie;Daniel;Socialiste, républicain et citoyen;Parti socialiste
Bompard;Jacques;Non inscrit;Debout la France (Debout la République)
Bonneton;Michèle;Écologiste;Europe Ecologie Les Verts
Bonnot;Marcel;Les Républicains;Les Républicains
Borgel;Christophe;Socialiste, républicain et citoyen;Parti socialiste
Bouchet;Jean-Claude;Les Républicains;Les Républicains
