Nom;Prénom;Groupe;Parti ou groupement politique
Abad;Damien;Les Républicains;Les Républicains
Abeille;Laurence;Non inscrit;Europe Ecologie Les Verts
Aboubacar;Ibrahim;Socialiste, écologiste et républicain;Parti socialiste
Aboud;Élie;Les Républicains;Les Républicains
Accoyer;Bernard;Les Républicains;Les Républicains
Adam;Patricia;Socialiste, écologiste et républicain;Parti socialiste
Alaux;Sylviane;Socialiste, écologiste et républicain;Parti socialiste
Alauzet;Éric;Socialiste, écologiste et républicain;Europe Ecologie Les Verts
Albarello;Yves;Les Républicains;Les Républicains
Allain;Brigitte;Non inscrit;Europe Ecologie Les Verts
Allossery;Jean-Pierre;Socialiste, écologiste et républicain;Parti socialiste
Ameline;Nicole;Les Républicains;Les Républicains
Amirshahi;Pouria;Non inscrit;Non rattaché
André;François;Socialiste, écologiste et républicain;Parti socialiste
Andrieux;Sylvie;Non inscrit;Non déclaré
Apparu;Benoist;Les Républicains;Les Républicains
Appéré;Nathalie;Socialiste, écologiste et républicain;Parti socialiste
Arif;Kader;Socialiste, écologiste et républicain;Parti socialiste
Arribagé;Laurence;Les Républicains;Les Républicains
Asensi;François;Gauche démocrate et républicaine;Forces de gauche
Assaf;Christian;Socialiste, écologiste et républicain;Parti socialiste
Attard;Isabelle;Non inscrit;Europe Ecologie Les Verts
Aubert;Julien;Les Républicains;Les Républicains
Audibert Troin;Olivier;Les Républicains;Les Républicains
Auroi;Danielle;Non inscrit;Europe Ecologie Les Verts
Aylagas;Pierre;Socialiste, écologiste et républicain;Parti socialiste
Azerot;Bruno Nestor;Gauche démocrate et républicaine;Mouvement initiative populaire
Bachelay;Alexis;Socialiste, écologiste et républicain;Parti socialiste
Bachelay;Guillaume;Socialiste, écologiste et républicain;Parti socialiste
Bacquet;Jean-Paul;Socialiste, écologiste et républicain;Parti socialiste
Baert;Dominique;Socialiste, écologiste et républicain;Parti socialiste
Bailliart;Guy;Socialiste, écologiste et républicain;Parti socialiste
Balkany;Patrick;Les Républicains;Les Républicains
Ballay;Alain;Socialiste, écologiste et républicain;Parti socialiste
Bapt;Gérard;Socialiste, écologiste et républicain;Parti socialiste
Barbier;Frédéric;Socialiste, écologiste et républicain;Parti socialiste
Barbier;Jean-Pierre;Les Républicains;Les Républicains
Bardy;Serge;Socialiste, écologiste et républicain;Parti socialiste
Bartolone;Claude;Socialiste, écologiste et républicain;Parti socialiste
Bataille;Christian;Socialiste, écologiste et républicain;Parti socialiste
Batho;Delphine;Socialiste, écologiste et républicain;Parti socialiste
Battistel;Marie-Noëlle;Socialiste, écologiste et républicain;Parti socialiste
Baumel;Laurent;Socialiste, écologiste et républicain;Parti socialiste
Baumel;Philippe;Socialiste, écologiste et républicain;Parti socialiste
Baupin;Denis;Non inscrit;Parti socialiste
Bays;Nicolas;Socialiste, écologiste et républicain;Parti socialiste
Beaubatie;Catherine;Socialiste, écologiste et républicain;Parti socialiste
Bechtel;Marie-Françoise;Socialiste, écologiste et républicain;Parti radical de gauche
Beffara;Jean-Marie;Socialiste, écologiste et républicain;Parti socialiste
Bello;Huguette;Gauche démocrate et républicaine;Pour la Réunion
Belot;Luc;Socialiste, écologiste et républicain;Parti socialiste
