Nom;Prénom;Groupe;Parti ou groupement politique
Bénisti;Jacques Alain;Les Républicains;Les Républicains
Benoit;Thierry;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Berger;Karine;Socialiste, écologiste et républicain;Parti socialiste
Berrios;Sylvain;Les Républicains;Les Républicains
Berthelot;Chantal;Socialiste, écologiste et républicain;Parti socialiste guyanais
Besse;Véronique;Non inscrit;Debout la France
Biémouret;Gisèle;Socialiste, écologiste et républicain;Parti socialiste
Bies;Philippe;Socialiste, écologiste et républicain;Parti socialiste
Binet;Erwann;Socialiste, écologiste et républicain;Parti socialiste
Blazy;Jean-Pierre;Socialiste, écologiste et républicain;Parti socialiste
Blein;Yves;Socialiste, écologiste et républicain;Parti socialiste
Bleunven;Jean-Luc;Socialiste, écologiste et républicain;Parti socialiste
Bloche;Patrick;Socialiste, écologiste et républicain;Parti socialiste
Bocquet;Alain;Gauche démocrate et républicaine;Parti communiste français
Boisserie;Daniel;Socialiste, écologiste et républicain;Parti socialiste
Bompard;Jacques;Non inscrit;Debout la France
Bonneton;Michèle;Non inscrit;Europe Ecologie Les Verts
Bonnot;Marcel;Les Républicains;Les Républicains
Borgel;Christophe;Socialiste, écologiste et républicain;Parti socialiste
Bouchet;Jean-Claude;Les Républicains;Les Républicains
Boudié;Florent;Socialiste, écologiste et républicain;Parti socialiste
Bouillé;Marie-Odile;Socialiste, écologiste et républicain;Parti socialiste
Bouillon;Christophe;Socialiste, écologiste et républicain;Parti socialiste
Bourdouleix;Gilles;Non inscrit;Association PSLE - Nouveau centre
Bourguignon;Brigitte;Socialiste, écologiste et républicain;Parti socialiste
Boutih;Malek;Socialiste, écologiste et républicain;Parti socialiste
Bouziane-Laroussi;Kheira;Socialiste, écologiste et républicain;Parti socialiste
Boyer;Valérie;Les Républicains;Les Républicains
Bréhier;Emeric;Socialiste, écologiste et républicain;Parti socialiste
Brenier;Marine;Les Républicains;Les Républicains
Breton;Xavier;Les Républicains;Les Républicains
Briand;Philippe;Les Républicains;Les Républicains
Bricout;Jean-Louis;Socialiste, écologiste et républicain;Parti socialiste
Bridey;Jean-Jacques;Socialiste, écologiste et républicain;Parti socialiste
Brochand;Bernard;Les Républicains;Les Républicains
Bruneau;Isabelle;Socialiste, écologiste et républicain;Parti socialiste
Buffet;Marie-George;Gauche démocrate et républicaine;Parti communiste français
Buis;Sabine;Socialiste, écologiste et républicain;Parti socialiste
Buisine;Jean-Claude;Socialiste, écologiste et républicain;Parti socialiste
Bulteau;Sylviane;Socialiste, écologiste et républicain;Parti socialiste
Burroni;Vincent;Socialiste, écologiste et républicain;Parti socialiste
Bussereau;Dominique;Les Républicains;Les Républicains
Calmette;Alain;Socialiste, écologiste et républicain;Parti socialiste
Cambadélis;Jean-Christophe;Socialiste, écologiste et républicain;Parti socialiste
Candelier;Jean-Jacques;Gauche démocrate et républicaine;Parti communiste français
Capdevielle;Colette;Socialiste, écologiste et républicain;Parti socialiste
Capet;Yann;Socialiste, écologiste et républicain;Parti socialiste
Caresche;Christophe;Socialiste, écologiste et républicain;Parti socialiste
Carlotti;Marie-Arlette;Socialiste, écologiste et républicain;Parti socialiste
Carpentier;Jean-Noël;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Carré;Olivier;Les Républicains;Les Républicains
Carrez;Gilles;Les Républicains;Les Républicains
Carrillon-Couvreur;Martine;Socialiste, écologiste et républicain;Parti socialiste
Carvalho;Patrice;Gauche démocrate et républicaine;Parti communiste français
Castaner;Christophe;Socialiste, écologiste et républicain;Parti socialiste
Cathala;Laurent;Socialiste, écologiste et républicain;Parti socialiste
Caullet;Jean-Yves;Socialiste, écologiste et républicain;Parti socialiste
Cavard;Christophe;Socialiste, écologiste et républicain;Parti socialiste
Censi;Yves;Les Républicains;Les Républicains
Chabanne;Nathalie;Socialiste, écologiste et républicain;Parti socialiste
Chalus;Ary;Radical, républicain, démocrate et progressiste;Guadeloupe unie socialisme et réalité
Chambefort;Guy;Socialiste, écologiste et républicain;Parti socialiste
Chanteguet;Jean-Paul;Socialiste, écologiste et républicain;Parti socialiste
Chapdelaine;Marie-Anne;Socialiste, écologiste et républicain;Parti socialiste
Charasse;Gérard;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Charroux;Gaby;Gauche démocrate et républicaine;Parti communiste français
Chartier;Jérôme;Les Républicains;Les Républicains
Chassaigne;André;Gauche démocrate et républicaine;Parti communiste français
Chatel;Luc;Les Républicains;Les Républicains
Chauveau;Guy-Michel;Socialiste, écologiste et républicain;Parti socialiste
Chauvel;Dominique;Non inscrit;Non rattaché
Cherki;Pascal;Socialiste, écologiste et républicain;Parti socialiste
Cherpion;Gérard;Les Républicains;Les Républicains
Chevrollier;Guillaume;Les Républicains;Les Républicains
Chrétien;Alain;Les Républicains;Les Républicains
Christ;Jean-Louis;Les Républicains;Les Républicains
Cinieri;Dino;Les Républicains;Les Républicains
Ciot;Jean-David;Socialiste, écologiste et républicain;Parti socialiste
Ciotti;Éric;Les Républicains;Les Républicains
Claeys;Alain;Socialiste, écologiste et républicain;Parti socialiste
Claireaux;Stéphane;Radical, républicain, démocrate et progressiste;Cap sur l'avenir
Clément;Jean-Michel;Socialiste, écologiste et républicain;Parti socialiste
Clergeau;Marie-Françoise;Socialiste, écologiste et républicain;Parti socialiste
Cochet;Philippe;Les Républicains;Les Républicains
Colas;Romain;Socialiste, écologiste et républicain;Parti socialiste
Collard;Gilbert;Non inscrit;Front national
Comet;David;Socialiste, écologiste et républicain;Parti socialiste
Copé;Jean-François;Les Républicains;Les Républicains
Cordery;Philip;Socialiste, écologiste et républicain;Parti socialiste
Cornut-Gentille;François;Les Républicains;Les Républicains
Coronado;Sergio;Non inscrit;Europe Ecologie Les Verts
Corre;Valérie;Socialiste, écologiste et républicain;Parti socialiste
Costes;Jean-Louis;Les Républicains;Les Républicains
Cottel;Jean-Jacques;Socialiste, écologiste et républicain;Parti socialiste
de Courson;Charles;Union des démocrates et indépendants;Association PSLE - Nouveau centre
Courtial;Édouard;Les Républicains;Les Républicains
Coutelle;Catherine;Socialiste, écologiste et républicain;Parti socialiste
Couve;Jean-Michel;Les Républicains;Les Républicains
Cresta;Jacques;Socialiste, écologiste et républicain;Parti socialiste
Crozon;Pascale;Socialiste, écologiste et républicain;Parti socialiste
Cuvillier;Frédéric;Socialiste, écologiste et républicain;Parti socialiste
Dagoma;Seybah;Socialiste, écologiste et républicain;Parti socialiste
Dalloz;Marie-Christine;Les Républicains;Les Républicains
Daniel;Karine;Socialiste, écologiste et républicain;Parti socialiste
Daniel;Yves;Socialiste, écologiste et républicain;Parti socialiste
Da Silva;Carlos;Socialiste, écologiste et républicain;Parti socialiste
Dassault;Olivier;Les Républicains;Les Républicains
Daubresse;Marc-Philippe;Les Républicains;Les Républicains
Debré;Bernard;Les Républicains;Les Républicains
Decool;Jean-Pierre;Les Républicains;Les Républicains
Deflesselles;Bernard;Les Républicains;Les Républicains
Degallaix;Laurent;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Degauchy;Lucien;Les Républicains;Les Républicains
Deguilhem;Pascal;Socialiste, écologiste et républicain;Parti socialiste
Delatte;Rémi;Les Républicains;Les Républicains
Delaunay;Florence;Socialiste, écologiste et républicain;Parti socialiste
Delaunay;Michèle;Socialiste, écologiste et républicain;Parti socialiste
Delcourt;Guy;Socialiste, écologiste et républicain;Parti socialiste
Delga;Carole;Socialiste, écologiste et républicain;Parti socialiste
Dellerie;Jacques;Socialiste, écologiste et républicain;Parti socialiste
Demarthe;Pascal;Socialiste, écologiste et républicain;Parti socialiste
Demilly;Stéphane;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Denaja;Sébastien;Socialiste, écologiste et républicain;Parti socialiste
Descamps-Crosnier;Françoise;Socialiste, écologiste et républicain;Parti socialiste
Destans;Jean-Louis;Socialiste, écologiste et républicain;Parti socialiste
Destot;Michel;Socialiste, écologiste et républicain;Parti socialiste
Devedjian;Patrick;Les Républicains;Les Républicains
Dhuicq;Nicolas;Les Républicains;Les Républicains
Dion;Sophie;Les Républicains;Les Républicains
Dive;Julien;Les Républicains;Les Républicains
Dolez;Marc;Gauche démocrate et républicaine;Parti communiste français
Dombre Coste;Fanny;Socialiste, écologiste et républicain;Parti socialiste
Door;Jean-Pierre;Les Républicains;Les Républicains
Dord;Dominique;Les Républicains;Les Républicains
Dosière;René;Socialiste, écologiste et républicain;Parti socialiste
Doucet;Philippe;Socialiste, écologiste et républicain;Parti socialiste
Doucet;Sandrine;Socialiste, écologiste et républicain;Parti socialiste
Douillet;David;Les Républicains;Les Républicains
Dubié;Jeanine;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Dubois;Françoise;Socialiste, écologiste et républicain;Parti socialiste
Dubois;Marianne;Les Républicains;Les Républicains
Duby-Muller;Virginie;Les Républicains;Les Républicains
Dufau;Jean-Pierre;Socialiste, écologiste et républicain;Parti socialiste
Duflot;Cécile;Non inscrit;Europe Ecologie Les Verts
Dufour-Tonini;Anne-Lise;Socialiste, écologiste et républicain;Parti socialiste
Dumas;Françoise;Socialiste, écologiste et républicain;Parti socialiste
Dumas;William;Socialiste, écologiste et républicain;Parti socialiste
Dumont;Jean-Louis;Socialiste, écologiste et républicain;Parti socialiste
Dumont;Laurence;Socialiste, écologiste et républicain;Parti socialiste
Dupont-Aignan;Nicolas;Non inscrit;Debout la France
Dupré;Jean-Paul;Socialiste, écologiste et républicain;Parti socialiste
Durand;Yves;Socialiste, écologiste et républicain;Parti socialiste
Duron;Philippe;Socialiste, écologiste et républicain;Parti socialiste
Dussopt;Olivier;Socialiste, écologiste et républicain;Parti socialiste
Elkouby;Éric;Socialiste, écologiste et républicain;Parti socialiste
Emmanuelli;Henri;Socialiste, écologiste et républicain;Parti socialiste
Erhel;Corinne;Socialiste, écologiste et républicain;Parti socialiste
Errante;Sophie;Socialiste, écologiste et républicain;Parti socialiste
Fabre;Marie-Hélène;Socialiste, écologiste et républicain;Parti socialiste
Falorni;Olivier;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Fasquelle;Daniel;Les Républicains;Les Républicains
Fauré;Alain;Socialiste, écologiste et républicain;Parti socialiste
Faure;Martine;Socialiste, écologiste et républicain;Parti socialiste
Faure;Olivier;Socialiste, écologiste et républicain;Parti socialiste
Favennec;Yannick;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Fenech;Georges;Les Républicains;Les Républicains
Féron;Hervé;Socialiste, écologiste et républicain;Parti socialiste
Ferrand;Richard;Socialiste, écologiste et républicain;Parti socialiste
Filippetti;Aurélie;Socialiste, écologiste et républicain;Parti socialiste
Fillon;François;Les Républicains;Les Républicains
Fioraso;Geneviève;Socialiste, écologiste et républicain;Parti socialiste
Folliot;Philippe;Union des démocrates et indépendants;Association PSLE - Nouveau centre
Fort;Marie-Louise;Les Républicains;Les Républicains
Foulon;Yves;Les Républicains;Les Républicains
Fourage;Hugues;Socialiste, écologiste et républicain;Parti socialiste
Fournel;Jean-Marc;Socialiste, écologiste et républicain;Parti socialiste
Fourneyron;Valérie;Socialiste, écologiste et républicain;Parti socialiste
Fournier-Armand;Michèle;Socialiste, écologiste et républicain;Parti socialiste
Françaix;Michel;Socialiste, écologiste et républicain;Parti socialiste
Francina;Marc;Les Républicains;Les Républicains
Franqueville;Christian;Socialiste, écologiste et républicain;Parti socialiste
Fraysse;Jacqueline;Gauche démocrate et républicaine;Forces de gauche
Fromantin;Jean-Christophe;Non inscrit;Association PSLE - Nouveau centre
Fromion;Yves;Les Républicains;Les Républicains
Fruteau;Jean-Claude;Socialiste, écologiste et républicain;Parti socialiste
Furst;Laurent;Les Républicains;Les Républicains
Gagnaire;Jean-Louis;Socialiste, écologiste et républicain;Parti socialiste
Gaillard;Geneviève;Socialiste, écologiste et républicain;Parti socialiste
Galut;Yann;Socialiste, écologiste et républicain;Parti socialiste
de Ganay;Claude;Les Républicains;Les Républicains
Gandolfi-Scheit;Sauveur;Les Républicains;Les Républicains
Garot;Guillaume;Socialiste, écologiste et républicain;Parti socialiste
Gauquelin;Renaud;Socialiste, écologiste et républicain;Parti socialiste
Gaymard;Hervé;Les Républicains;Les Républicains
Genevard;Annie;Les Républicains;Les Républicains
Geoffroy;Guy;Les Républicains;Les Républicains
Gérard;Bernard;Les Républicains;Les Républicains
Germain;Jean-Marc;Socialiste, écologiste et républicain;Parti socialiste
Gest;Alain;Les Républicains;Les Républicains
Giacobbi;Paul;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Gibbes;Daniel;Les Républicains;Les Républicains
Gilard;Franck;Les Républicains;Les Républicains
Gille;Jean-Patrick;Socialiste, écologiste et républicain;Parti socialiste
Ginesta;Georges;Les Républicains;Les Républicains
Ginesy;Charles-Ange;Les Républicains;Les Républicains
Giran;Jean-Pierre;Les Républicains;Les Républicains
Giraud;Joël;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Glavany;Jean;Socialiste, écologiste et républicain;Parti socialiste
Goasdoué;Yves;Socialiste, écologiste et républicain;Parti socialiste
Goasguen;Claude;Les Républicains;Les Républicains
Goldberg;Daniel;Socialiste, écologiste et républicain;Parti socialiste
Gomes;Philippe;Union des démocrates et indépendants;Calédonie ensemble
Gorges;Jean-Pierre;Les Républicains;Non rattaché
Gosselin;Philippe;Les Républicains;Les Républicains
Gosselin-Fleury;Geneviève;Socialiste, écologiste et républicain;Parti socialiste
Got;Pascale;Socialiste, écologiste et républicain;Parti socialiste
Goua;Marc;Socialiste, écologiste et républicain;Parti socialiste
Goujon;Philippe;Les Républicains;Les Républicains
Gourjade;Linda;Socialiste, écologiste et républicain;Parti socialiste
Grandguillaume;Laurent;Socialiste, écologiste et républicain;Parti socialiste
Greff;Claude;Les Républicains;Les Républicains
Grellier;Jean;Socialiste, écologiste et républicain;Parti socialiste
Grosskost;Arlette;Les Républicains;Les Républicains
Grouard;Serge;Les Républicains;Les Républicains
Guaino;Henri;Les Républicains;Les Républicains
Guégot;Françoise;Les Républicains;Les Républicains
Gueugneau;Edith;Socialiste, écologiste et républicain;Parti socialiste
Guibal;Jean-Claude;Les Républicains;Les Républicains
Guigou;Élisabeth;Socialiste, écologiste et républicain;Parti socialiste
Guillet;Jean-Jacques;Les Républicains;Les Républicains
Guilloteau;Christophe;Les Républicains;Les Républicains
Guittet;Chantal;Socialiste, écologiste et républicain;Parti socialiste
Habib;David;Socialiste, écologiste et républicain;Parti socialiste
Habib;Meyer;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Hammadi;Razzy;Socialiste, écologiste et républicain;Parti socialiste
Hamon;Benoît;Socialiste, écologiste et républicain;Parti socialiste
Hanotin;Mathieu;Socialiste, écologiste et républicain;Parti socialiste
Heinrich;Michel;Les Républicains;Les Républicains
Herbillon;Michel;Les Républicains;Les Républicains
Herth;Antoine;Les Républicains;Les Républicains
Hetzel;Patrick;Les Républicains;Les Républicains
Hillmeyer;Francis;Union des démocrates et indépendants;Association PSLE - Nouveau centre
Hobert;Gilda;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Houillon;Philippe;Les Républicains;Les Républicains
Huet;Guénhaël;Les Républicains;Les Républicains
Huillier;Joëlle;Socialiste, écologiste et républicain;Parti socialiste
Hutin;Christian;Socialiste, écologiste et républicain;Parti socialiste
Huyghe;Sébastien;Les Républicains;Les Républicains
Iborra;Monique;Socialiste, écologiste et républicain;Non rattaché
Imbert;Françoise;Socialiste, écologiste et républicain;Parti socialiste
Issindou;Michel;Socialiste, écologiste et républicain;Parti socialiste
Jacob;Christian;Les Républicains;Les Républicains
Jacquat;Denis;Les Républicains;Les Républicains
Jalton;Éric;Socialiste, écologiste et républicain;Parti communiste guadeloupéen
Janquin;Serge;Socialiste, écologiste et républicain;Parti socialiste
Jégo;Yves;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Jibrayel;Henri;Socialiste, écologiste et républicain;Parti socialiste
Joron;Romain;Socialiste, écologiste et républicain;Parti socialiste
Juanico;Régis;Socialiste, écologiste et républicain;Parti socialiste
Kalinowski;Laurent;Socialiste, écologiste et républicain;Parti socialiste
Karamanli;Marietta;Socialiste, écologiste et républicain;Parti socialiste
Kemel;Philippe;Socialiste, écologiste et républicain;Parti socialiste
Kert;Christian;Les Républicains;Les Républicains
Khirouni;Chaynesse;Socialiste, écologiste et républicain;Parti socialiste
Kosciusko-Morizet;Nathalie;Les Républicains;Les Républicains
Kossowski;Jacques;Les Républicains;Les Républicains
Krabal;Jacques;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Labaune;Patrick;Les Républicains;Les Républicains
Laclais;Bernadette;Socialiste, écologiste et républicain;Parti socialiste
Lacroute;Valérie;Les Républicains;Les Républicains
Lacuey;Conchita;Socialiste, écologiste et républicain;Parti socialiste
Laffineur;Marc;Les Républicains;Les Républicains
Lagarde;Jean-Christophe;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Lagarde;Sonia;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Lambert;François-Michel;Socialiste, écologiste et républicain;Parti socialiste
Lambert;Jérôme;Radical, républicain, démocrate et progressiste;Parti socialiste
Lamblin;Jacques;Les Républicains;Les Républicains
Lamour;Jean-François;Les Républicains;Les Républicains
Lamy;François;Socialiste, écologiste et républicain;Parti socialiste
Lang;Anne-Christine;Socialiste, écologiste et républicain;Parti socialiste
Langlade;Colette;Socialiste, écologiste et républicain;Parti socialiste
de La Raudière;Laure;Les Républicains;Les Républicains
Larrivé;Guillaume;Les Républicains;Les Républicains
Lassalle;Jean;Non inscrit;Non rattaché
Launay;Jean;Socialiste, écologiste et républicain;Parti socialiste
Laurent;Jean-Luc;Socialiste, écologiste et républicain;Parti socialiste
de La Verpillière;Charles;Les Républicains;Les Républicains
Lazaro;Thierry;Les Républicains;Les Républicains
Leboeuf;Alain;Les Républicains;Les Républicains
Le Borgn';Pierre-Yves;Socialiste, écologiste et républicain;Parti socialiste
Le Bouillonnec;Jean-Yves;Socialiste, écologiste et républicain;Parti socialiste
Lebranchu;Marylise;Socialiste, écologiste et républicain;Parti socialiste
Lebreton;Patrick;Non inscrit;Non rattaché
Le Bris;Gilbert;Socialiste, écologiste et républicain;Parti socialiste
Le Callennec;Isabelle;Les Républicains;Les Républicains
Le Dain;Anne-Yvonne;Socialiste, écologiste et républicain;Parti socialiste
Le Déaut;Jean-Yves;Socialiste, écologiste et républicain;Parti socialiste
Le Dissez;Viviane;Socialiste, écologiste et républicain;Parti socialiste
Ledoux;Vincent;Les Républicains;Les Républicains
Lefait;Michel;Socialiste, écologiste et républicain;Parti socialiste
Lefebvre;Dominique;Socialiste, écologiste et républicain;Parti socialiste
Lefebvre;Frédéric;Les Républicains;Les Républicains
Le Fur;Marc;Les Républicains;Les Républicains
Le Houerou;Annie;Socialiste, écologiste et républicain;Parti socialiste
Lellouche;Pierre;Les Républicains;Les Républicains
Le Loch;Annick;Socialiste, écologiste et républicain;Parti socialiste
Le Maire;Bruno;Les Républicains;Les Républicains
Lemasle;Patrick;Socialiste, écologiste et républicain;Parti socialiste
Le Mèner;Dominique;Les Républicains;Les Républicains
Lemorton;Catherine;Socialiste, écologiste et républicain;Parti socialiste
Léonard;Christophe;Socialiste, écologiste et républicain;Parti socialiste
Leonetti;Jean;Les Républicains;Les Républicains
Lepetit;Annick;Socialiste, écologiste et républicain;Parti socialiste
Lequiller;Pierre;Les Républicains;Les Républicains
Le Ray;Philippe;Les Républicains;Les Républicains
Le Roch;Jean-Pierre;Socialiste, écologiste et républicain;Parti socialiste
Le Roux;Bruno;Socialiste, écologiste et républicain;Parti socialiste
Leroy;Arnaud;Socialiste, écologiste et républicain;Parti socialiste
Le Roy;Marie-Thérèse;Socialiste, écologiste et républicain;Parti socialiste
Leroy;Maurice;Union des démocrates et indépendants;Association PSLE - Nouveau centre
Lesage;Michel;Socialiste, écologiste et républicain;Parti socialiste
Lesterlin;Bernard;Socialiste, écologiste et républicain;Parti socialiste
Letchimy;Serge;Socialiste, écologiste et républicain;Parti progressiste martiniquais
Lett;Céleste;Les Républicains;Les Républicains
Le Vern;Marie;Socialiste, écologiste et républicain;Parti socialiste
Levy;Geneviève;Les Républicains;Les Républicains
Liebgott;Michel;Socialiste, écologiste et républicain;Parti socialiste
Lignières-Cassou;Martine;Socialiste, écologiste et républicain;Parti socialiste
Linkenheld;Audrey;Socialiste, écologiste et républicain;Parti socialiste
Loncle;François;Socialiste, écologiste et républicain;Parti socialiste
Louis-Carabin;Gabrielle;Socialiste, écologiste et républicain;Parti socialiste
Lousteau;Lucette;Socialiste, écologiste et républicain;Parti socialiste
Louwagie;Véronique;Les Républicains;Les Républicains
Luca;Lionnel;Les Républicains;Les Républicains
Lurel;Victorin;Socialiste, écologiste et républicain;Parti socialiste
Lurton;Gilles;Les Républicains;Les Républicains
Maggi;Jean-Pierre;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Mamère;Noël;Non inscrit;Europe Ecologie Les Verts
Mancel;Jean-François;Les Républicains;Les Républicains
Maquet;Jacqueline;Socialiste, écologiste et républicain;Parti socialiste
Marcangeli;Laurent;Les Républicains;Les Républicains
Marcel;Marie-Lou;Socialiste, écologiste et républicain;Parti socialiste
Maréchal-Le Pen;Marion;Non inscrit;Front national
Mariani;Thierry;Les Républicains;Les Républicains
Marie-Jeanne;Alfred;Gauche démocrate et républicaine;Mouvement indépendantiste martiniquais
Mariton;Hervé;Les Républicains;Les Républicains
Marleix;Alain;Les Républicains;Les Républicains
Marleix;Olivier;Les Républicains;Les Républicains
Marlin;Franck;Les Républicains;Les Républicains
Marsac;Jean-René;Socialiste, écologiste et républicain;Parti socialiste
Marsaud;Alain;Les Républicains;Les Républicains
Martin;Philippe;Socialiste, écologiste et républicain;Parti socialiste
Martin;Philippe Armand;Les Républicains;Les Républicains
Martinel;Martine;Socialiste, écologiste et républicain;Parti socialiste
Martin-Lalande;Patrice;Les Républicains;Les Républicains
Marty;Alain;Les Républicains;Les Républicains
Massat;Frédérique;Socialiste, écologiste et républicain;Parti socialiste
Massonneau;Véronique;Socialiste, écologiste et républicain;Parti socialiste
Mathis;Jean-Claude;Les Républicains;Les Républicains
Mazetier;Sandrine;Socialiste, écologiste et républicain;Parti socialiste
de Mazières;François;Les Républicains;Les Républicains
Ménard;Michel;Socialiste, écologiste et républicain;Parti socialiste
Mennucci;Patrick;Socialiste, écologiste et républicain;Parti socialiste
Menuel;Gérard;Les Républicains;Les Républicains
Meslot;Damien;Les Républicains;Les Républicains
Mesquida;Kléber;Socialiste, écologiste et républicain;Parti socialiste
Meunier;Philippe;Les Républicains;Les Républicains
Mignon;Jean-Claude;Les Républicains;Les Républicains
Molac;Paul;Socialiste, écologiste et républicain;Parti socialiste
Morange;Pierre;Les Républicains;Les Républicains
Moreau;Yannick;Les Républicains;Les Républicains
Morel-A-L'Huissier;Pierre;Les Républicains;Les Républicains
Moyne-Bressand;Alain;Les Républicains;Les Républicains
Muet;Pierre-Alain;Socialiste, écologiste et républicain;Parti socialiste
Myard;Jacques;Les Républicains;Les Républicains
Nachury;Dominique;Les Républicains;Les Républicains
Naillet;Philippe;Socialiste, écologiste et républicain;Parti socialiste
Nauche;Philippe;Socialiste, écologiste et républicain;Parti socialiste
Nicolin;Yves;Les Républicains;Les Républicains
Nieson;Nathalie;Socialiste, écologiste et républicain;Parti socialiste
Nilor;Jean-Philippe;Gauche démocrate et républicaine;Mouvement indépendantiste martiniquais
Noguès;Philippe;Non inscrit;Non rattaché
Olive;Robert;Socialiste, écologiste et républicain;Parti socialiste
Olivier;Maud;Socialiste, écologiste et républicain;Parti socialiste
Ollier;Patrick;Les Républicains;Les Républicains
Orliac;Dominique;Radical, républicain, démocrate et progressiste;Parti radical de gauche
Orphé;Monique;Socialiste, écologiste et républicain;Parti socialiste
Pajon;Michel;Socialiste, écologiste et républicain;Parti socialiste
Pancher;Bertrand;Union des démocrates et indépendants;Union des radicaux, centristes, indépendants et démocrates
Pane;Luce;Socialiste, écologiste et républicain;Parti socialiste
Pau-Langevin;George;Socialiste, écologiste et républicain;Parti socialiste
Paul;Christian;Socialiste, écologiste et républicain;Parti socialiste
Pauvros;Rémi;Socialiste, écologiste et républicain;Parti socialiste
Peiro;Germinal;Socialiste, écologiste et républicain;Parti socialiste
Pélissard;Jacques;Les Républicains;Les Républicains
Pellois;Hervé;Socialiste, écologiste et républicain;Parti socialiste
Perez;Jean-Claude;Socialiste, écologiste et républicain;Parti socialiste
Pernod Beaudon;Stéphanie;Les Républicains;Les Républicains
