"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"Abad","Damien","Les Républicains","Les Républicains","H","Ain","damien-abad","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605036"
"Abadie","Caroline","La République en Marche","En marche !","F","Isère","caroline-abadie","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719866"
"Abba","Bérangère","La République en Marche","En marche !","F","Haute-Marne","berangere-abba","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720242"
"Acquaviva","Jean-Félix","Non inscrit","Régions et peuples solidaires","H","Haute-Corse","jean-felix-acquaviva","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719146"
"Adam","Damien","La République en Marche","En marche !","H","Seine-Maritime","damien-adam","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722038"
"Ahamada","Saïd","La République en Marche","En marche !","H","Bouches-du-Rhône","said-ahamada","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718954"
"Alauzet","Éric","La République en Marche","En marche !","H","Doubs","eric-alauzet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605963"
"Ali","Ramlati","La République en Marche","En marche !","F","Mayotte","ramlati-ali","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA724827"
"Aliot","Louis","Non inscrit","Front National","H","Pyrénées-Orientales","louis-aliot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720798"
"Amadou","Aude","La République en Marche","En marche !","F","Loire-Atlantique","aude-amadou","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720124"
"Anato","Patrice","La République en Marche","En marche !","H","Seine-Saint-Denis","patrice-anato","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721278"
"André","François","La République en Marche","En marche !","H","Ille-et-Vilaine","francois-andre","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA606675"
"Anglade","Pieyre-Alexandre","La République en Marche","En marche !","H","Français établis hors de France","pieyre-alexandre-anglade","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721158"
"Anthoine","Emmanuelle","Les Républicains","Les Républicains","F","Drôme","emmanuelle-anthoine","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719318"
"Ardouin","Jean-Philippe","La République en Marche","En marche !","H","Charente-Maritime","jean-philippe-ardouin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719100"
"Arend","Christophe","La République en Marche","En marche !","H","Moselle","christophe-arend","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720310"
"Attal","Gabriel","La République en Marche","En marche !","H","Hauts-de-Seine","gabriel-attal","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722190"
"Aubert","Julien","Les Républicains","Les Républicains","H","Vaucluse","julien-aubert","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA609726"
"Auconie","Sophie","UDI, Agir et Indépendants","Union des démocrates, radicaux et libéraux","F","Indre-et-Loire","sophie-auconie","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719806"
"Autain","Clémentine","La France insoumise","La France Insoumise","F","Seine-Saint-Denis","clementine-autain","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA588884"
"Avia","Laetitia","La République en Marche","En marche !","F","Paris","laetitia-avia","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721624"
"Aviragnet","Joël","Nouvelle Gauche","Parti socialiste","H","Haute-Garonne","joel-aviragnet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA642764"
"Azerot","Bruno Nestor","Gauche démocrate et républicaine","Parti communiste Français","H","Martinique","bruno-nestor-azerot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610634"
"Bachelier","Florian","La République en Marche","En marche !","H","Ille-et-Vilaine","florian-bachelier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719770"
"Bagarry","Delphine","La République en Marche","En marche !","F","Alpes-de-Haute-Provence","delphine-bagarry","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718744"
"Baichère","Didier","La République en Marche","En marche !","H","Yvelines","didier-baichere","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721776"
"Balanant","Erwan","Mouvement Démocrate et apparentés","Mouvement Démocrate","H","Finistère","erwan-balanant","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719558"
"Bannier","Géraldine","Mouvement Démocrate et apparentés","Mouvement Démocrate","F","Mayenne","geraldine-bannier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720256"
"Barbier","Frédéric","La République en Marche","En marche !","H","Doubs","frederic-barbier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA642724"
"Bareigts","Ericka","Nouvelle Gauche","Parti socialiste","F","Réunion","ericka-bareigts","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610681"
"Barrot","Jean-Noël","Mouvement Démocrate et apparentés","Mouvement Démocrate","H","Yvelines","jean-noel-barrot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721836"
"Bassire","Nathalie","Les Républicains","Les Républicains","F","Réunion","nathalie-bassire","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721046"
"Batho","Delphine","Nouvelle Gauche","Parti socialiste","F","Deux-Sèvres","delphine-batho","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA335999"
"Battistel","Marie-Noëlle","Nouvelle Gauche","Parti socialiste","F","Isère","marie-noelle-battistel","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA342415"
"Batut","Xavier","La République en Marche","En marche !","H","Seine-Maritime","xavier-batut","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721522"
"Bazin","Thibault","Les Républicains","Les Républicains","H","Meurthe-et-Moselle","thibault-bazin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA642847"
"Bazin-Malgras","Valérie","Les Républicains","Les Républicains","F","Aube","valerie-bazin-malgras","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718884"
"Beaudouin-Hubiere","Sophie","La République en Marche","En marche !","F","Haute-Vienne","sophie-beaudouin-hubiere","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722170"
"Beauvais","Valérie","Les Républicains","Les Républicains","F","Marne","valerie-beauvais","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720210"
"Becht","Olivier","UDI, Agir et Indépendants","Union des démocrates, radicaux et libéraux","H","Haut-Rhin","olivier-becht","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA642935"
"Belhaddad","Belkhir","La République en Marche","En marche !","H","Moselle","belkhir-belhaddad","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720362"
"Bello","Huguette","Gauche démocrate et républicaine","Parti communiste Français","F","Réunion","huguette-bello","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA441"
"Benin","Justine","Mouvement Démocrate et apparentés","Mouvement Démocrate","F","Guadeloupe","justine-benin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720968"
"Benoit","Thierry","UDI, Agir et Indépendants","Union des démocrates, radicaux et libéraux","H","Ille-et-Vilaine","thierry-benoit","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA332228"
"Bergé","Aurore","La République en Marche","En marche !","F","Yvelines","aurore-berge","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722046"
"Bernalicis","Ugo","La France insoumise","La France Insoumise","H","Nord","ugo-bernalicis","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720430"
"Berta","Philippe","Mouvement Démocrate et apparentés","Mouvement Démocrate","H","Gard","philippe-berta","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719488"
"Berville","Hervé","La République en Marche","En marche !","H","Côtes-d'Armor","herve-berville","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719218"
"Besson-Moreau","Grégory","La République en Marche","En marche !","H","Aube","gregory-besson-moreau","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718876"
"Bessot Ballot","Barbara","La République en Marche","En marche !","F","Haute-Saône","barbara-bessot-ballot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722312"
"Biémouret","Gisèle","Nouvelle Gauche","Parti socialiste","F","Gers","gisele-biemouret","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA508"
"Bilde","Bruno","Non inscrit","Front National","H","Pas-de-Calais","bruno-bilde","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720822"
"Blanc","Anne","La République en Marche","En marche !","F","Aveyron","anne-blanc","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718990"
"Blanchet","Christophe","La République en Marche","En marche !","H","Calvados","christophe-blanchet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719024"
