"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"ADNOT","Philippe","Réunion administrative des Sénateurs ne figurant sur la liste d'aucun groupe","Union des Démocrates, Radicaux et Libéraux","H","Aube","philippe-adnot","http://www.senat.fr/senateur/adnot_philippe89017r.html"
"ALLIZARD","Pascal","Les Républicains","Les Républicains","H","Calvados","pascal-allizard","http://www.senat.fr/senateur/allizard_pascal14133k.html"
"AMIEL","Michel","La République En Marche","En Marche !","H","Bouches-du-Rhône","michel-amiel","http://www.senat.fr/senateur/amiel_michel14239u.html"
"ANTISTE","Maurice","Socialiste et républicain","Parti progressiste Martiniquais","H","Martinique","maurice-antiste","http://www.senat.fr/senateur/antiste_maurice11109j.html"
"ARNELL","Guillaume","Rassemblement Démocratique et Social Européen","Parti Radical de gauche","H","Saint-Martin","guillaume-arnell","http://www.senat.fr/senateur/arnell_guillaume14261s.html"
"ARTANO","Stéphane","Rassemblement Démocratique et Social Européen","Archipel demain","H","Saint-Pierre-et-Miquelon","stephane-artano","http://www.senat.fr/senateur/artano_stephane19717b.html"
"ARTIGALAS","Viviane","Socialiste et républicain","Parti Socialiste","F","Hautes-Pyrénées","viviane-artigalas","http://www.senat.fr/senateur/artigalas_viviane19631v.html"
"ASSASSI","Éliane","Communiste républicain citoyen et écologiste","Parti Communiste Français","F","Seine-Saint-Denis","eliane-assassi","http://www.senat.fr/senateur/assassi_eliane04085p.html"
"ASSOULINE","David","Socialiste et républicain","Parti Socialiste","H","Paris","david-assouline","http://www.senat.fr/senateur/assouline_david04059m.html"
"BABARY","Serge","Les Républicains","Les Républicains","H","Indre-et-Loire","serge-babary","http://www.senat.fr/senateur/babary_serge19515s.html"
"BANSARD","Jean-Pierre","Les Républicains","Les Républicains","H","Français établis hors de France","jean-pierre-bansard","http://www.senat.fr/senateur/bansard_jean_pierre19707y.html"
"BARGETON","Julien","La République En Marche","En Marche !","H","Paris","julien-bargeton","http://www.senat.fr/senateur/bargeton_julien19651a.html"
"BAS","Philippe","Les Républicains","Les Républicains","H","Manche","philippe-bas","http://www.senat.fr/senateur/bas_philippe05008e.html"
"BASCHER","Jérôme","Les Républicains","Les Républicains","H","Oise","jerome-bascher","http://www.senat.fr/senateur/bascher_jerome19741b.html"
"BAZIN","Arnaud","Les Républicains","Les Républicains","H","Val-d'Oise","arnaud-bazin","http://www.senat.fr/senateur/bazin_arnaud19667j.html"
"de BELENET","Arnaud","La République En Marche","En Marche !","H","Seine-et-Marne","arnaud-de-belenet","http://www.senat.fr/senateur/de_belenet_arnaud19543w.html"
"BENBASSA","Esther","Communiste républicain citoyen et écologiste","Europe Écologie Les Verts","F","Paris","esther-benbassa","http://www.senat.fr/senateur/benbassa_esther11033f.html"
"BÉRIT-DÉBAT","Claude","Socialiste et républicain","Parti Socialiste","H","Dordogne","claude-berit-debat","http://www.senat.fr/senateur/berit_debat_claude08055a.html"
"BERTHET","Martine","Les Républicains","Les Républicains","F","Savoie","martine-berthet","http://www.senat.fr/senateur/berthet_martine19575f.html"
"BERTRAND","Alain","Rassemblement Démocratique et Social Européen","En Marche !","H","Lozère","alain-bertrand","http://www.senat.fr/senateur/bertrand_alain11081p.html"
"BERTRAND","Anne-Marie","Les Républicains","Les Républicains","F","Bouches-du-Rhône","anne-marie-bertrand","http://www.senat.fr/senateur/bertrand_anne_marie14115h.html"
"BIGNON","Jérôme","Les Indépendants / République et Territoires","Union des Démocrates, Radicaux et Libéraux","H","Somme","jerome-bignon","http://www.senat.fr/senateur/bignon_jerome14093u.html"
"BIGOT","Jacques","Socialiste et républicain","Parti Socialiste","H","Bas-Rhin","jacques-bigot","http://www.senat.fr/senateur/bigot_jacques14065q.html"
"BIGOT","Joël","Socialiste et républicain","Parti Socialiste","H","Maine-et-Loire","joel-bigot","http://www.senat.fr/senateur/bigot_joel19549d.html"
"BILLON","Annick","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Vendée","annick-billon","http://www.senat.fr/senateur/billon_annick14030q.html"
"BIZET","Jean","Les Républicains","Les Républicains","H","Manche","jean-bizet","http://www.senat.fr/senateur/bizet_jean96004d.html"
"BLONDIN","Maryvonne","Socialiste et républicain","Parti Socialiste","F","Finistère","maryvonne-blondin","http://www.senat.fr/senateur/blondin_maryvonne08043v.html"
"BOCKEL","Jean-Marie","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Haut-Rhin","jean-marie-bockel","http://www.senat.fr/senateur/bockel_jean_marie04040a.html"
"BOCQUET","Éric","Communiste républicain citoyen et écologiste","Parti Communiste Français","H","Nord","eric-bocquet","http://www.senat.fr/senateur/bocquet_eric11040e.html"
"BONFANTI-DOSSAT","Christine","Les Républicains","Les Républicains","F","Lot-et-Garonne","christine-bonfanti-dossat","http://www.senat.fr/senateur/bonfanti_dossat_christine19367y.html"
"BONHOMME","François","Les Républicains","Les Républicains","H","Tarn-et-Garonne","francois-bonhomme","http://www.senat.fr/senateur/bonhomme_francois14069u.html"
"BONNE","Bernard","Les Républicains","Les Républicains","H","Loire","bernard-bonne","http://www.senat.fr/senateur/bonne_bernard19415p.html"
"BONNECARRÈRE","Philippe","Union Centriste","En Marche !","H","Tarn","philippe-bonnecarrere","http://www.senat.fr/senateur/bonnecarrere_philippe14089y.html"
"BONNEFOY","Nicole","Socialiste et républicain","Parti Socialiste","F","Charente","nicole-bonnefoy","http://www.senat.fr/senateur/bonnefoy_nicole08060w.html"
"BORIES","Pascale","Les Républicains","Les Républicains","F","Gard","pascale-bories","http://www.senat.fr/senateur/bories_pascale19733b.html"
"BOTREL","Yannick","Socialiste et républicain","Parti Socialiste","H","Côtes-d'Armor","yannick-botrel","http://www.senat.fr/senateur/botrel_yannick08014q.html"
"BOUCHET","Gilbert","Les Républicains","Les Républicains","H","Drôme","gilbert-bouchet","http://www.senat.fr/senateur/bouchet_gilbert14105f.html"
"BOULAY-ESPÉRONNIER","Céline","Les Républicains","Mouvement démocrate","F","Paris","celine-boulay-esperonnier","http://www.senat.fr/senateur/boulay_esperonnier_celine19643a.html"
"BOURQUIN","Martial","Socialiste et républicain","Parti Socialiste","H","Doubs","martial-bourquin","http://www.senat.fr/senateur/bourquin_martial08068f.html"
"BOUTANT","Michel","Socialiste et républicain","Parti Socialiste","H","Charente","michel-boutant","http://www.senat.fr/senateur/boutant_michel08058d.html"
