"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"BOYER","Jean-Marc","Les Républicains","Les Républicains","H","Puy-de-Dôme","jean-marc-boyer","http://www.senat.fr/senateur/boyer_jean_marc19383y.html"
"BRISSON","Max","Les Républicains","Les Républicains","H","Pyrénées-Atlantiques","max-brisson","http://www.senat.fr/senateur/brisson_max19621t.html"
"BRUGUIÈRE","Marie-Thérèse","Les Républicains","Les Républicains","F","Hérault","marie-therese-bruguiere","http://www.senat.fr/senateur/bruguiere_marie_therese08020n.html"
"BUFFET","François-Noël","Les Républicains","Les Républicains","H","Rhône","francois-noel-buffet","http://www.senat.fr/senateur/buffet_francois_noel04047h.html"
"CABANEL","Henri","Socialiste et républicain","Parti Socialiste","H","Hérault","henri-cabanel","http://www.senat.fr/senateur/cabanel_henri14207l.html"
"CADIC","Olivier","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Français établis hors de France","olivier-cadic","http://www.senat.fr/senateur/cadic_olivier14255u.html"
"CALVET","François","Les Républicains","Les Républicains","H","Pyrénées-Orientales","francois-calvet","http://www.senat.fr/senateur/calvet_francois11101a.html"
"CAMBON","Christian","Les Républicains","Les Républicains","H","Val-de-Marne","christian-cambon","http://www.senat.fr/senateur/cambon_christian04042c.html"
"CANAYER","Agnès","Les Républicains","Les Républicains","F","Seine-Maritime","agnes-canayer","http://www.senat.fr/senateur/canayer_agnes14053l.html"
"CANEVET","Michel","Union Centriste","En Marche !","H","Finistère","michel-canevet","http://www.senat.fr/senateur/canevet_michel14083s.html"
"CAPO-CANELLAS","Vincent","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Seine-Saint-Denis","vincent-capo-canellas","http://www.senat.fr/senateur/capo_canellas_vincent11053k.html"
"CAPUS","Emmanuel","Les Indépendants / République et Territoires","Union des Démocrates, Radicaux et Libéraux","H","Maine-et-Loire","emmanuel-capus","http://www.senat.fr/senateur/capus_emmanuel19545y.html"
"CARCENAC","Thierry","Socialiste et républicain","Parti Socialiste","H","Tarn","thierry-carcenac","http://www.senat.fr/senateur/carcenac_thierry14085u.html"
"CARDOUX","Jean-Noël","Les Républicains","Les Républicains","H","Loiret","jean-noel-cardoux","http://www.senat.fr/senateur/cardoux_jean_noel11103c.html"
"CARLE","Jean-Claude","Les Républicains","Les Républicains","H","Haute-Savoie","jean-claude-carle","http://www.senat.fr/senateur/carle_jean_claude95015c.html"
"CARRÈRE","Maryse","Rassemblement Démocratique et Social Européen","Parti Radical de gauche","F","Hautes-Pyrénées","maryse-carrere","http://www.senat.fr/senateur/carrere_maryse19629c.html"
"CARTRON","Françoise","Socialiste et républicain","Parti Socialiste","F","Gironde","francoise-cartron","http://www.senat.fr/senateur/cartron_francoise08024s.html"
"CASTELLI","Joseph","Rassemblement Démocratique et Social Européen","Parti Radical de gauche","H","Haute-Corse","joseph-castelli","http://www.senat.fr/senateur/castelli_joseph14201e.html"
"CAZABONNE","Alain","Union Centriste","Mouvement démocrate","H","Gironde","alain-cazabonne","http://www.senat.fr/senateur/cazabonne_alain19721w.html"
"CAZEAU","Bernard","La République En Marche","En Marche !","H","Dordogne","bernard-cazeau","http://www.senat.fr/senateur/cazeau_bernard98029w.html"
"CHAIN-LARCHÉ","Anne","Les Républicains","Les Républicains","F","Seine-et-Marne","anne-chain-larche","http://www.senat.fr/senateur/chain_larche_anne14329v.html"
"CHAIZE","Patrick","Les Républicains","Les Républicains","H","Ain","patrick-chaize","http://www.senat.fr/senateur/chaize_patrick14038y.html"
"CHARON","Pierre","Les Républicains","Les Républicains","H","Paris","pierre-charon","http://www.senat.fr/senateur/charon_pierre11080n.html"
"CHASSEING","Daniel","Les Indépendants / République et Territoires","Union des Démocrates, Radicaux et Libéraux","H","Corrèze","daniel-chasseing","http://www.senat.fr/senateur/chasseing_daniel14195a.html"
"CHATILLON","Alain","Les Républicains","Union des Démocrates, Radicaux et Libéraux","H","Haute-Garonne","alain-chatillon","http://www.senat.fr/senateur/chatillon_alain08028w.html"
"CHAUVIN","Marie-Christine","Les Républicains","Les Républicains","F","Jura","marie-christine-chauvin","http://www.senat.fr/senateur/chauvin_marie_christine19467c.html"
"CHEVROLLIER","Guillaume","Les Républicains","Les Républicains","H","Mayenne","guillaume-chevrollier","http://www.senat.fr/senateur/chevrollier_guillaume18083k.html"
"de CIDRAC","Marta","Les Républicains","Les Républicains","F","Yvelines","marta-de-cidrac","http://www.senat.fr/senateur/de_cidrac_marta19701s.html"
"CIGOLOTTI","Olivier","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Haute-Loire","olivier-cigolotti","http://www.senat.fr/senateur/cigolotti_olivier14267y.html"
"COHEN","Laurence","Communiste républicain citoyen et écologiste","Parti Communiste Français","F","Val-de-Marne","laurence-cohen","http://www.senat.fr/senateur/cohen_laurence11031d.html"
"COLLIN","Yvon","Rassemblement Démocratique et Social Européen","En Marche !","H","Tarn-et-Garonne","yvon-collin","http://www.senat.fr/senateur/collin_yvon88008l.html"
"COLLOMBAT","Pierre-Yves","Communiste républicain citoyen et écologiste","La France insoumise","H","Var","pierre-yves-collombat","http://www.senat.fr/senateur/collombat_pierre_yves04038g.html"
"CONCONNE","Catherine","Socialiste et républicain","Parti progressiste Martiniquais","F","Martinique","catherine-conconne","http://www.senat.fr/senateur/conconne_catherine19295a.html"
"CONWAY-MOURET","Hélène","Socialiste et républicain","Parti Socialiste","F","Français établis hors de France","helene-conway-mouret","http://www.senat.fr/senateur/conway_mouret_helene11027h.html"
"CORBISEZ","Jean-Pierre","Rassemblement Démocratique et Social Européen","Parti Communiste Français","H","Pas-de-Calais","jean-pierre-corbisez","http://www.senat.fr/senateur/corbisez_jean_pierre19681g.html"
"CORNU","Gérard","Les Républicains","Les Républicains","H","Eure-et-Loir","gerard-cornu","http://www.senat.fr/senateur/cornu_gerard98023q.html"
"COSTES","Josiane","Rassemblement Démocratique et Social Européen","Parti Radical de gauche","F","Cantal","josiane-costes","http://www.senat.fr/senateur/costes_josiane19253p.html"
"COURTEAU","Roland","Socialiste et républicain","Parti Socialiste","H","Aude","roland-courteau","http://www.senat.fr/senateur/courteau_roland80013x.html"
"COURTIAL","Édouard","Les Républicains","Les Républicains","H","Oise","edouard-courtial","http://www.senat.fr/senateur/courtial_edouard11115u.html"
"CUKIERMAN","Cécile","Communiste républicain citoyen et écologiste","Parti Communiste Français","F","Loire","cecile-cukierman","http://www.senat.fr/senateur/cukierman_cecile11056n.html"
"CUYPERS","Pierre","Les Républicains","Les Républicains","H","Seine-et-Marne","pierre-cuypers","http://www.senat.fr/senateur/cuypers_pierre14357a.html"
"DAGBERT","Michel","Socialiste et républicain","Parti Socialiste","H","Pas-de-Calais","michel-dagbert","http://www.senat.fr/senateur/dagbert_michel19525u.html"
"DALLIER","Philippe","Les Républicains","Les Républicains","H","Seine-Saint-Denis","philippe-dallier","http://www.senat.fr/senateur/dallier_philippe04086q.html"
"DANESI","René","Les Républicains","Les Républicains","H","Haut-Rhin","rene-danesi","http://www.senat.fr/senateur/danesi_rene14079w.html"
"DANTEC","Ronan","Rassemblement Démocratique et Social Européen","Europe Écologie Les Verts","H","Loire-Atlantique","ronan-dantec","http://www.senat.fr/senateur/dantec_ronan11065p.html"
"DARCOS","Laure","Les Républicains","Les Républicains","F","Essonne","laure-darcos","http://www.senat.fr/senateur/darcos_laure19693l.html"
"DARNAUD","Mathieu","Les Républicains","Les Républicains","H","Ardèche","mathieu-darnaud","http://www.senat.fr/senateur/darnaud_mathieu14259y.html"
"DAUBRESSE","Marc-Philippe","Les Républicains","Les Républicains","H","Nord","marc-philippe-daubresse","http://www.senat.fr/senateur/daubresse_marc_philippe04008a.html"
"DAUDIGNY","Yves","Socialiste et républicain","Parti Socialiste","H","Aisne","yves-daudigny","http://www.senat.fr/senateur/daudigny_yves08052w.html"
"DAUNIS","Marc","Socialiste et républicain","Parti Socialiste","H","Alpes-Maritimes","marc-daunis","http://www.senat.fr/senateur/daunis_marc08038y.html"
"DECOOL","Jean-Pierre","Les Indépendants / République et Territoires","Union des Démocrates, Radicaux et Libéraux","H","Nord","jean-pierre-decool","http://www.senat.fr/senateur/decool_jean_pierre17589d.html"
"del PICCHIA","Robert","Les Républicains","Les Républicains","H","Français établis hors de France","robert-del-picchia","http://www.senat.fr/senateur/del_picchia_robert98018t.html"
"DELAHAYE","Vincent","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Essonne","vincent-delahaye","http://www.senat.fr/senateur/delahaye_vincent11070l.html"
"DELATTRE","Nathalie","Rassemblement Démocratique et Social Européen","Union des Démocrates, Radicaux et Libéraux","F","Gironde","nathalie-delattre","http://www.senat.fr/senateur/delattre_nathalie19719d.html"
"DELCROS","Bernard","Union Centriste","Mouvement démocrate","H","Cantal","bernard-delcros","http://www.senat.fr/senateur/delcros_bernard14327t.html"
"DELMONT-KOROPOULIS","Annie","Les Républicains","Les Républicains","F","Seine-Saint-Denis","annie-delmont-koropoulis","http://www.senat.fr/senateur/delmont_koropoulis_annie19663e.html"
"DENNEMONT","Michel","La République En Marche","En Marche !","H","Réunion","michel-dennemont","http://www.senat.fr/senateur/dennemont_michel19659j.html"
"DÉRIOT","Gérard","Les Républicains","Les Républicains","H","Allier","gerard-deriot","http://www.senat.fr/senateur/deriot_gerard98024r.html"
"DEROCHE","Catherine","Les Républicains","Les Républicains","F","Maine-et-Loire","catherine-deroche","http://www.senat.fr/senateur/deroche_catherine10006l.html"
"DEROMEDI","Jacky","Les Républicains","Les Républicains","F","Français établis hors de France","jacky-deromedi","http://www.senat.fr/senateur/deromedi_jacky14041t.html"
"DESEYNE","Chantal","Les Républicains","Les Républicains","F","Eure-et-Loir","chantal-deseyne","http://www.senat.fr/senateur/deseyne_chantal14217n.html"
"DÉTRAIGNE","Yves","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Marne","yves-detraigne","http://www.senat.fr/senateur/detraigne_yves01024m.html"
"DEVINAZ","Gilbert-Luc","Socialiste et républicain","Parti Socialiste","H","Rhône","gilbert-luc-devinaz","http://www.senat.fr/senateur/devinaz_gilbert_luc19251m.html"
"DI FOLCO","Catherine","Les Républicains","Les Républicains","F","Rhône","catherine-di-folco","http://www.senat.fr/senateur/di_folco_catherine14215l.html"
"DINDAR","Nassimah","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Réunion","nassimah-dindar","http://www.senat.fr/senateur/dindar_nassimah19577h.html"
"DOINEAU","Élisabeth","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Mayenne","elisabeth-doineau","http://www.senat.fr/senateur/doineau_elisabeth14042u.html"
"DOMINATI","Philippe","Les Républicains","Mouvement démocrate","H","Paris","philippe-dominati","http://www.senat.fr/senateur/dominati_philippe04071h.html"
"DUBOIS","Daniel","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Somme","daniel-dubois","http://www.senat.fr/senateur/dubois_daniel04089t.html"
"DUFAUT","Alain","Les Républicains","Les Républicains","H","Vaucluse","alain-dufaut","http://www.senat.fr/senateur/dufaut_alain87003b.html"
"DUMAS","Catherine","Les Républicains","Les Républicains","F","Paris","catherine-dumas","http://www.senat.fr/senateur/dumas_catherine07033p.html"
"DUPLOMB","Laurent","Les Républicains","Les Républicains","H","Haute-Loire","laurent-duplomb","http://www.senat.fr/senateur/duplomb_laurent19507s.html"
"DURAIN","Jérôme","Socialiste et républicain","Parti Socialiste","H","Saône-et-Loire","jerome-durain","http://www.senat.fr/senateur/durain_jerome14151m.html"
"DURAN","Alain","Socialiste et républicain","Parti Socialiste","H","Ariège","alain-duran","http://www.senat.fr/senateur/duran_alain14197c.html"
"DURANTON","Nicole","Les Républicains","Les Républicains","F","Eure","nicole-duranton","http://www.senat.fr/senateur/duranton_nicole14249w.html"
"ÉBLÉ","Vincent","Socialiste et républicain","Parti Socialiste","H","Seine-et-Marne","vincent-eble","http://www.senat.fr/senateur/eble_vincent11074q.html"
"ÉMORINE","Jean-Paul","Les Républicains","Non rattaché","H","Saône-et-Loire","jean-paul-emorine","http://www.senat.fr/senateur/emorine_jean_paul95030b.html"
"ESPAGNAC","Frédérique","Socialiste et républicain","Parti Socialiste","F","Pyrénées-Atlantiques","frederique-espagnac","http://www.senat.fr/senateur/espagnac_frederique11110b.html"
"ESTROSI SASSONE","Dominique","Les Républicains","Les Républicains","F","Alpes-Maritimes","dominique-estrosi-sassone","http://www.senat.fr/senateur/estrosi_sassone_dominique14187a.html"
"EUSTACHE-BRINIO","Jacqueline","Les Républicains","Les Républicains","F","Val-d'Oise","jacqueline-eustache-brinio","http://www.senat.fr/senateur/eustache_brinio_jacqueline19673g.html"
"FÉRAT","Françoise","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Marne","francoise-ferat","http://www.senat.fr/senateur/ferat_francoise01025n.html"
"FÉRAUD","Rémi","Socialiste et républicain","Parti Socialiste","H","Paris","remi-feraud","http://www.senat.fr/senateur/feraud_remi19647e.html"
"FÉRET","Corinne","Socialiste et républicain","Parti Socialiste","F","Calvados","corinne-feret","http://www.senat.fr/senateur/feret_corinne14281w.html"
"FICHET","Jean-Luc","Socialiste et républicain","Parti Socialiste","H","Finistère","jean-luc-fichet","http://www.senat.fr/senateur/fichet_jean_luc08045x.html"
"FILLEUL","Martine","Socialiste et républicain","Parti Socialiste","F","Nord","martine-filleul","http://www.senat.fr/senateur/filleul_martine19599p.html"
"FORISSIER","Michel","Les Républicains","Les Républicains","H","Rhône","michel-forissier","http://www.senat.fr/senateur/forissier_michel14087w.html"
"FOUCAUD","Thierry","Communiste républicain citoyen et écologiste","Parti Communiste Français","H","Seine-Maritime","thierry-foucaud","http://www.senat.fr/senateur/foucaud_thierry98053w.html"
"FOUCHÉ","Alain","Les Indépendants / République et Territoires","Les Républicains","H","Vienne","alain-fouche","http://www.senat.fr/senateur/fouche_alain02002k.html"
"FOURNIER","Bernard","Les Républicains","Les Républicains","H","Loire","bernard-fournier","http://www.senat.fr/senateur/fournier_bernard97011g.html"
"FOURNIER","Catherine","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Pas-de-Calais","catherine-fournier","http://www.senat.fr/senateur/fournier_catherine19521q.html"
"FRASSA","Christophe-André","Les Républicains","Les Républicains","H","Français établis hors de France","christophe-andre-frassa","http://www.senat.fr/senateur/frassa_christophe_andre08018u.html"
"FROGIER","Pierre","Les Républicains","Rassemblement LR - Rassemblement pour la Calédonie dans la République","H","Nouvelle-Calédonie","pierre-frogier","http://www.senat.fr/senateur/frogier_pierre11010l.html"
"GABOUTY","Jean-Marc","Rassemblement Démocratique et Social Européen","Union des Démocrates, Radicaux et Libéraux","H","Haute-Vienne","jean-marc-gabouty","http://www.senat.fr/senateur/gabouty_jean_marc14034u.html"
"GARRIAUD-MAYLAM","Joëlle","Les Républicains","Les Républicains","F","Français établis hors de France","joelle-garriaud-maylam","http://www.senat.fr/senateur/garriaud_maylam_joelle04035d.html"
"GATEL","Françoise","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Ille-et-Vilaine","francoise-gatel","http://www.senat.fr/senateur/gatel_francoise14231l.html"
"GATTOLIN","André","La République En Marche","En Marche !","H","Hauts-de-Seine","andre-gattolin","http://www.senat.fr/senateur/gattolin_andre11083r.html"
"GAY","Fabien","Communiste républicain citoyen et écologiste","Parti Communiste Français","H","Seine-Saint-Denis","fabien-gay","http://www.senat.fr/senateur/gay_fabien19695n.html"
"GENEST","Jacques","Les Républicains","Les Républicains","H","Ardèche","jacques-genest","http://www.senat.fr/senateur/genest_jacques14199e.html"
"GERBAUD","Frédérique","Les Républicains","Les Républicains","F","Indre","frederique-gerbaud","http://www.senat.fr/senateur/gerbaud_frederique14355x.html"
"GHALI","Samia","Socialiste et républicain","Parti Socialiste","F","Bouches-du-Rhône","samia-ghali","http://www.senat.fr/senateur/ghali_samia08035v.html"
"GILLES","Bruno","Les Républicains","Les Républicains","H","Bouches-du-Rhône","bruno-gilles","http://www.senat.fr/senateur/gilles_bruno08048b.html"
"GINESTA","Jordi","Les Républicains","Les Républicains","H","Var","jordi-ginesta","http://www.senat.fr/senateur/ginesta_jordi15447f.html"
"GIUDICELLI","Colette","Les Républicains","Les Républicains","F","Alpes-Maritimes","colette-giudicelli","http://www.senat.fr/senateur/giudicelli_colette08041t.html"
"GOLD","Éric","Rassemblement Démocratique et Social Européen","Parti Radical de gauche","H","Puy-de-Dôme","eric-gold","http://www.senat.fr/senateur/gold_eric19387d.html"
"GONTARD","Guillaume","Communiste républicain citoyen et écologiste","Europe Écologie Les Verts","H","Isère","guillaume-gontard","http://www.senat.fr/senateur/gontard_guillaume19347u.html"
"de la GONTRIE","Marie-Pierre","Socialiste et républicain","Parti Socialiste","F","Paris","marie-pierre-de-la-gontrie","http://www.senat.fr/senateur/de_la_gontrie_marie_pierre19649g.html"
"GOULET","Nathalie","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Orne","nathalie-goulet","http://www.senat.fr/senateur/goulet_nathalie07004j.html"
"GOY-CHAVENT","Sylvie","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Ain","sylvie-goy-chavent","http://www.senat.fr/senateur/goy_chavent_sylvie08056b.html"
"GRAND","Jean-Pierre","Les Républicains","Les Républicains","H","Hérault","jean-pierre-grand","http://www.senat.fr/senateur/grand_jean_pierre14211g.html"
"GRÉAUME","Michelle","Communiste républicain citoyen et écologiste","Parti Communiste Français","F","Nord","michelle-greaume","http://www.senat.fr/senateur/greaume_michelle19565d.html"
"GRELET-CERTENAIS","Nadine","Socialiste et républicain","Parti Socialiste","F","Sarthe","nadine-grelet-certenais","http://www.senat.fr/senateur/grelet_certenais_nadine19727d.html"
"GREMILLET","Daniel","Les Républicains","Les Républicains","H","Vosges","daniel-gremillet","http://www.senat.fr/senateur/gremillet_daniel14033t.html"
"GROSDIDIER","François","Les Républicains","Les Républicains","H","Moselle","francois-grosdidier","http://www.senat.fr/senateur/grosdidier_francois11049p.html"
"GROSPERRIN","Jacques","Les Républicains","Les Républicains","H","Doubs","jacques-grosperrin","http://www.senat.fr/senateur/grosperrin_jacques14123h.html"
"GRUNY","Pascale","Les Républicains","Les Républicains","F","Aisne","pascale-gruny","http://www.senat.fr/senateur/gruny_pascale14026u.html"
"GUENÉ","Charles","Les Républicains","Les Républicains","H","Haute-Marne","charles-guene","http://www.senat.fr/senateur/guene_charles01057w.html"
"GUÉRINI","Jean-Noël","Rassemblement Démocratique et Social Européen","Parti Radical de gauche","H","Bouches-du-Rhône","jean-noel-guerini","http://www.senat.fr/senateur/guerini_jean_noel98022p.html"
"GUERRIAU","Joël","Les Indépendants / République et Territoires","Union des Démocrates, Radicaux et Libéraux","H","Loire-Atlantique","joel-guerriau","http://www.senat.fr/senateur/guerriau_joel11064n.html"
"GUIDEZ","Jocelyne","Union Centriste","Union des Démocrates, Radicaux et Libéraux","F","Essonne","jocelyne-guidez","http://www.senat.fr/senateur/guidez_jocelyne19691j.html"
"GUILLAUME","Didier","Socialiste et républicain","Parti Socialiste","H","Drôme","didier-guillaume","http://www.senat.fr/senateur/guillaume_didier08016s.html"
"GUILLEMOT","Annie","Socialiste et républicain","Parti Socialiste","F","Rhône","annie-guillemot","http://www.senat.fr/senateur/guillemot_annie14081q.html"
"GUILLOTIN","Véronique","Rassemblement Démocratique et Social Européen","Union des Démocrates, Radicaux et Libéraux","F","Meurthe-et-Moselle","veronique-guillotin","http://www.senat.fr/senateur/guillotin_veronique19553y.html"
"HARRIBEY","Laurence","Socialiste et républicain","Parti Socialiste","F","Gironde","laurence-harribey","http://www.senat.fr/senateur/harribey_laurence19725b.html"
"HASSANI","Abdallah","La République En Marche","En Marche !","H","Mayotte","abdallah-hassani","http://www.senat.fr/senateur/hassani_abdallah19329s.html"
"HAUT","Claude","La République En Marche","En Marche !","H","Vaucluse","claude-haut","http://www.senat.fr/senateur/haut_claude95037j.html"
"HENNO","Olivier","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Nord","olivier-henno","http://www.senat.fr/senateur/henno_olivier19569h.html"
"HERVÉ","Loïc","Union Centriste","Union des Démocrates, Radicaux et Libéraux","H","Haute-Savoie","loic-herve","http://www.senat.fr/senateur/herve_loic14179a.html"
"HERZOG","Christine","Réunion administrative des Sénateurs ne figurant sur la liste d'aucun groupe","Debout la France","F","Moselle","christine-herzog","http://www.senat.fr/senateur/herzog_christine19685l.html"
"HOULLEGATTE","Jean-Michel","Socialiste et républicain","Parti Socialiste","H","Manche","jean-michel-houllegatte","http://www.senat.fr/senateur/houllegatte_jean_michel19333n.html"
"HOUPERT","Alain","Les Républicains","Les Républicains","H","Côte-d'Or","alain-houpert","http://www.senat.fr/senateur/houpert_alain08069g.html"
"HUGONET","Jean-Raymond","Les Républicains","Les Républicains","H","Essonne","jean-raymond-hugonet","http://www.senat.fr/senateur/hugonet_jean_raymond19399h.html"
"HURÉ","Benoît","Les Républicains","Les Républicains","H","Ardennes","benoit-hure","http://www.senat.fr/senateur/hure_benoit04097t.html"
"HUSSON","Jean-François","Les Républicains","Les Républicains","H","Meurthe-et-Moselle","jean-francois-husson","http://www.senat.fr/senateur/husson_jean_francois11048n.html"
"IACOVELLI","Xavier","Socialiste et républicain","Parti Socialiste","H","Hauts-de-Seine","xavier-iacovelli","http://www.senat.fr/senateur/iacovelli_xavier19591f.html"
