"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"M. Damien Abad","Damien","Les Républicains","Les Républicains","H","Ain","damien-abad","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605036"
"Mme Caroline Abadie","Caroline","La République en Marche","En marche !","F","Isère","caroline-abadie","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719866"
"M. Jean-Félix Acquaviva","Jean-Félix","Libertés et Territoires","Régions et peuples solidaires","H","Haute-Corse","jean-felix-acquaviva","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719146"
"M. Damien Adam","Damien","La République en Marche","En marche !","H","Seine-Maritime","damien-adam","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722038"
"M. Lénaïck Adam","Lénaïck","La République en Marche","En marche !","H","Guyane","lenaick-adam","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721036"
"M. Saïd Ahamada","Saïd","La République en Marche","En marche !","H","Bouches-du-Rhône","said-ahamada","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718954"
"M. Éric Alauzet","Éric","La République en Marche","En marche !","H","Doubs","eric-alauzet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605963"
"Mme Ramlati Ali","Ramlati","La République en Marche","En marche !","F","Mayotte","ramlati-ali","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA724827"
"Mme Aude Amadou","Aude","La République en Marche","En marche !","F","Loire-Atlantique","aude-amadou","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720124"
"M. Patrice Anato","Patrice","La République en Marche","En marche !","H","Seine-Saint-Denis","patrice-anato","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721278"
"M. Pieyre-Alexandre Anglade","Pieyre-Alexandre","La République en Marche","En marche !","H","Français établis hors de France","pieyre-alexandre-anglade","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721158"
"Mme Emmanuelle Anthoine","Emmanuelle","Les Républicains","Les Républicains","F","Drôme","emmanuelle-anthoine","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719318"
"M. Jean-Philippe Ardouin","Jean-Philippe","La République en Marche","En marche !","H","Charente-Maritime","jean-philippe-ardouin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719100"
"M. Christophe Arend","Christophe","La République en Marche","En marche !","H","Moselle","christophe-arend","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720310"
"Mme Stéphanie Atger","Stéphanie","La République en Marche","En marche !","F","Essonne","stephanie-atger","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721674"
"M. Julien Aubert","Julien","Les Républicains","Les Républicains","H","Vaucluse","julien-aubert","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA609726"
"Mme Edith Audibert","Edith","Les Républicains","Les Républicains","F","Var","edith-audibert","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721666"
"Mme Clémentine Autain","Clémentine","La France insoumise","La France Insoumise","F","Seine-Saint-Denis","clementine-autain","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA588884"
"Mme Laetitia Avia","Laetitia","La République en Marche","En marche !","F","Paris","laetitia-avia","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721624"
