"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"Abad","Damien","UMP","Union pour un Mouvement Populaire","H","Ain","damien-abad","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605036"
"Abeille","Laurence","Écolo","Europe Écologie Les Verts","F","Val-de-Marne","laurence-abeille","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610427"
"Aboubacar","Ibrahim","SRC","Parti socialiste","H","Mayotte","ibrahim-aboubacar","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610758"
"Aboud","Élie","UMP","Union pour un Mouvement Populaire","H","Hérault","elie-aboud","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267457"
"Accoyer","Bernard","UMP","Union pour un Mouvement Populaire","H","Haute-Savoie","bernard-accoyer","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA230"
"Adam","Patricia","SRC","Parti socialiste","F","Finistère","patricia-adam","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267695"
"Alaux","Sylviane","SRC","Parti socialiste","F","Pyrénées-Atlantiques","sylviane-alaux","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA608276"
"Alauzet","Éric","Écolo","Europe Écologie Les Verts","H","Doubs","eric-alauzet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605963"
"Albarello","Yves","UMP","Union pour un Mouvement Populaire","H","Seine-et-Marne","yves-albarello","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA243"
"Allain","Brigitte","Écolo","Europe Écologie Les Verts","F","Dordogne","brigitte-allain","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605922"
"Allossery","Jean-Pierre","SRC","Parti socialiste","H","Nord","jean-pierre-allossery","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA607892"
"Ameline","Nicole","UMP","Union pour un Mouvement Populaire","F","Calvados","nicole-ameline","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA259"
