"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"VERCAMER","Francis","LC","Union Des Démocrates, Radicaux Et Libéraux","H","Nord","francis-vercamer","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267585"
"LECOCQ","Charlotte","LREM","En Marche !","F","Nord","charlotte-lecocq","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720480"
"HUYGHE","Sébastien","LR","Les Républicains","H","Nord","sebastien-huyghe","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267200"
"LISO","Brigitte","LREM","En Marche !","F","Nord","brigitte-liso","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720446"
"FANGET","Michel","MODEM","Mouvement Démocrate","H","Puy-de-Dôme","michel-fanget","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1276"
"CHASSAIGNE","André","GDR","Parti Communiste Francais","H","Puy-de-Dôme","andre-chassaigne","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267306"
"PETIT","Valérie","LREM","En Marche !","F","Nord","valerie-petit","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720500"
"OSSON","Catherine","LREM","En Marche !","F","Nord","catherine-osson","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720492"
"THOMAS","Valérie","LREM","En Marche !","F","Puy-de-Dôme","valerie-thomas","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720830"
"PIRÈS BEAUNE","Christine","NG","Parti Socialiste","F","Puy-de-Dôme","christine-pires-beaune","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA608172"
"VICHNIEVSKY","Laurence","MODEM","Mouvement Démocrate","F","Puy-de-Dôme","laurence-vichnievsky","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720704"
"PALUSZKIEWICZ","Xavier","LREM","En Marche !","H","Meurthe-et-Moselle","xavier-paluszkiewicz","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720402"
"CHICHE","Guillaume","LREM","En Marche !","H","Deux-Sèvres","guillaume-chiche","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722126"
"FIEVET","Jean-Marie","LREM","En Marche !","H","Deux-Sèvres","jean-marie-fievet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722134"
"BACHELIER","Florian","LREM","En Marche !","H","Ille-et-Vilaine","florian-bachelier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719770"
"LAABID","Mostapha","LREM","En Marche !","H","Ille-et-Vilaine","mustapha-laabid","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719842"
"MESNIER","Thomas","LREM","En Marche !","H","Charente","thomas-mesnier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719072"
"MARSAUD","Sandra","LREM","En Marche !","F","Charente","sandra-marsaud","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719080"
"LAMBERT","Jérôme","NG","Parti Socialiste","H","Charente","jerome-lambert","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1809"
"CLOAREC","Christine","LREM","En Marche !","F","Ille-et-Vilaine","christine-cloarec","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719756"
"LE BOHEC","Gaël","LREM","En Marche !","H","Ille-et-Vilaine","gael-le-bohec","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719728"
"LURTON","Gilles","LR","Les Républicains","H","Ille-et-Vilaine","gilles-lurton","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA606712"
"BENOIT","Thierry","LC","Union Des Démocrates, Radicaux Et Libéraux","H","Ille-et-Vilaine","thierry-benoit","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA332228"
"DUSSOPT","Olivier","NG","Parti Socialiste","H","Ardèche","olivier-dussopt","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA330357"
"BRUN","Fabrice","LR","Les Républicains","H","Ardèche","fabrice-brun","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718838"
"SAULIGNAC","Hervé","NG","Parti Socialiste","H","Ardèche","herve-saulignac","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA340343"
"ADAM","Damien","LREM","En Marche !","H","Seine-Maritime","damien-adam","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722038"
"GRAU","Romain","LREM","En Marche !","H","Pyrénées-Orientales","romain-grau","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720790"
"ROUILLARD","Gwendal","LREM","En Marche !","H","Morbihan","gwendal-rouillard","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA343493"
"GAYTE","Laurence","LREM","En Marche !","F","Pyrénées-Orientales","laurence-gayte","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720806"
"ALIOT","Louis","NI","Front National","H","Pyrénées-Orientales","louis-aliot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720798"
"BAREIGTS","Ericka","NG","Parti Socialiste","F","Réunion","ericka-bareigts","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610681"
"CAZENOVE","Sébastien","LREM","En Marche !","H","Pyrénées-Orientales","sebastien-cazenove","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720814"
"LE PEIH","Nicole","LREM","En Marche !","F","Morbihan","nicole-le-peih","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720342"
"HERTH","Antoine","LC","Les Républicains","H","Bas-Rhin","antoine-herth","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267355"
"PANCHER","Bertrand","LC","Union Des Démocrates, Radicaux Et Libéraux","H","Meuse","bertrand-pancher","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA333421"
"LARRIVÉ","Guillaume","LR","Les Républicains","H","Yonne","guillaume-larrive","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267785"
"VILLIERS","André","LC","Union Des Démocrates, Radicaux Et Libéraux","H","Yonne","andre-villiers","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA421348"
"CROUZET","Michèle","LREM","En Marche !","F","Yonne","michele-crouzet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721808"
"MEYNIER-MILLEFERT","Marjolaine","LREM","En Marche !","F","Isère","marjolaine-meynier-millefert","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719882"
"RAPHAN","Pierre-Alain","LREM","En Marche !","H","Essonne","pierre-alain-raphan","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721888"
