"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"Abad","Damien","Les Républicains","Les Républicains","H","Ain","damien-abad","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605036"
"Abeille","Laurence","Non inscrit","Europe Écologie Les Verts","F","Val-de-Marne","laurence-abeille","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610427"
"Aboubacar","Ibrahim","Socialiste, écologiste et républicain","Parti socialiste","H","Mayotte","ibrahim-aboubacar","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610758"
"Aboud","Élie","Les Républicains","Les Républicains","H","Hérault","elie-aboud","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267457"
"Accoyer","Bernard","Les Républicains","Les Républicains","H","Haute-Savoie","bernard-accoyer","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA230"
"Adam","Patricia","Socialiste, écologiste et républicain","Parti socialiste","F","Finistère","patricia-adam","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267695"
"Alaux","Sylviane","Socialiste, écologiste et républicain","Parti socialiste","F","Pyrénées-Atlantiques","sylviane-alaux","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA608276"
"Alauzet","Éric","Socialiste, écologiste et républicain","Europe Écologie Les Verts","H","Doubs","eric-alauzet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605963"
"Albarello","Yves","Les Républicains","Les Républicains","H","Seine-et-Marne","yves-albarello","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA243"
"Allain","Brigitte","Non inscrit","Europe Écologie Les Verts","F","Dordogne","brigitte-allain","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605922"
"Allossery","Jean-Pierre","Socialiste, écologiste et républicain","Parti socialiste","H","Nord","jean-pierre-allossery","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA607892"
"Ameline","Nicole","Les Républicains","Les Républicains","F","Calvados","nicole-ameline","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA259"
"Amirshahi","Pouria","Non inscrit","Non rattaché","H","Français établis hors de France","pouria-amirshahi","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610968"
"André","François","Socialiste, écologiste et républicain","Parti socialiste","H","Ille-et-Vilaine","francois-andre","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA606675"
"Andrieux","Sylvie","Non inscrit","Non rattaché","F","Bouches-du-Rhône","sylvie-andrieux","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA271"
