"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"Abad","Damien","UMP","Union pour un Mouvement Populaire","H","Ain","damien-abad","http://www.assemblee-nationale.fr/14/tribun/fiches_id/605036.asp"
"Abeille","Laurence","ECOLO","Europe Écologie Les Verts","F","Val-de-Marne","laurence-abeille","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610427.asp"
"Aboubacar","Ibrahim","SRC","Parti socialiste","H","Mayotte","ibrahim-aboubacar","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610758.asp"
"Aboud","Élie","UMP","Union pour un Mouvement Populaire","H","Hérault","elie-aboud","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267457.asp"
"Accoyer","Bernard","UMP","Union pour un Mouvement Populaire","H","Haute-Savoie","bernard-accoyer","http://www.assemblee-nationale.fr/14/tribun/fiches_id/230.asp"
"Adam","Patricia","SRC","Parti socialiste","F","Finistère","patricia-adam","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267695.asp"
"Alaux","Sylviane","SRC","Parti socialiste","F","Pyrénées-Atlantiques","sylviane-alaux","http://www.assemblee-nationale.fr/14/tribun/fiches_id/608276.asp"
"Alauzet","Éric","ECOLO","Europe Écologie Les Verts","H","Doubs","eric-alauzet","http://www.assemblee-nationale.fr/14/tribun/fiches_id/605963.asp"
"Albarello","Yves","UMP","Union pour un Mouvement Populaire","H","Seine-et-Marne","yves-albarello","http://www.assemblee-nationale.fr/14/tribun/fiches_id/243.asp"
"Allain","Brigitte","ECOLO","Europe Écologie Les Verts","F","Dordogne","brigitte-allain","http://www.assemblee-nationale.fr/14/tribun/fiches_id/605922.asp"
"Allossery","Jean-Pierre","SRC","Parti socialiste","H","Nord","jean-pierre-allossery","http://www.assemblee-nationale.fr/14/tribun/fiches_id/607892.asp"
"Ameline","Nicole","UMP","Union pour un Mouvement Populaire","F","Calvados","nicole-ameline","http://www.assemblee-nationale.fr/14/tribun/fiches_id/259.asp"
"Amirshahi","Pouria","SRC","Parti socialiste","H","Français établis hors de France","pouria-amirshahi","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610968.asp"
"André","François","SRC","Parti socialiste","H","Ille-et-Vilaine","francois-andre","http://www.assemblee-nationale.fr/14/tribun/fiches_id/606675.asp"
"Andrieux","Sylvie","NI","Parti socialiste","F","Bouches-du-Rhône","sylvie-andrieux","http://www.assemblee-nationale.fr/14/tribun/fiches_id/271.asp"
"Apparu","Benoist","UMP","Union pour un Mouvement Populaire","H","Marne","benoist-apparu","http://www.assemblee-nationale.fr/14/tribun/fiches_id/333224.asp"
"Appéré","Nathalie","SRC","Parti socialiste","F","Ille-et-Vilaine","nathalie-appere","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267706.asp"
"Asensi","François","GDR","Forces de gauche","H","Seine-Saint-Denis","francois-asensi","http://www.assemblee-nationale.fr/14/tribun/fiches_id/295.asp"
"Assaf","Christian","SRC","Parti socialiste","H","Hérault","christian-assaf","http://www.assemblee-nationale.fr/14/tribun/fiches_id/606631.asp"
"Assouly","Avi","SRC","Parti socialiste","H","Bouches-du-Rhône","avi-assouly","http://www.assemblee-nationale.fr/14/tribun/fiches_id/642682.asp"
"Attard","Isabelle","ECOLO","Europe Écologie Les Verts","F","Calvados","isabelle-attard","http://www.assemblee-nationale.fr/14/tribun/fiches_id/605625.asp"
"Aubert","Julien","UMP","Union pour un Mouvement Populaire","H","Vaucluse","julien-aubert","http://www.assemblee-nationale.fr/14/tribun/fiches_id/609726.asp"
"Audibert Troin","Olivier","UMP","Union pour un Mouvement Populaire","H","Var","olivier-audibert-troin","http://www.assemblee-nationale.fr/14/tribun/fiches_id/314.asp"
"Auroi","Danielle","ECOLO","Europe Écologie Les Verts","F","Puy-de-Dôme","danielle-auroi","http://www.assemblee-nationale.fr/14/tribun/fiches_id/608186.asp"
"Aylagas","Pierre","SRC","Parti socialiste","H","Pyrénées-Orientales","pierre-aylagas","http://www.assemblee-nationale.fr/14/tribun/fiches_id/608348.asp"
"Azerot","Bruno Nestor","GDR","Rassemblement démocratique pour la Martinique","H","Martinique","bruno-nestor-azerot","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610634.asp"
"Bachelay","Alexis","SRC","Parti socialiste","H","Hauts-de-Seine","alexis-bachelay","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610066.asp"
"Bachelay","Guillaume","SRC","Parti socialiste","H","Seine-Maritime","guillaume-bachelay","http://www.assemblee-nationale.fr/14/tribun/fiches_id/642987.asp"
"Bacquet","Jean-Paul","SRC","Parti socialiste","H","Puy-de-Dôme","jean-paul-bacquet","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334.asp"
