"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"SALMON","Daniel","Groupe Écologiste -Solidarité et Territoires","Europe Écologie Les Verts","H","Ille-et-Vilaine","daniel-salmon","http://www.senat.fr/senateur/salmon_daniel20092g.html"
"SAURY","Hugues","Groupe Les Républicains","Les Républicains","H","Loiret","hugues-saury","http://www.senat.fr/senateur/saury_hugues19421m.html"
"SAUTAREL","Stéphane","Groupe Les Républicains","Les Républicains","H","Cantal","stephane-sautarel","http://www.senat.fr/senateur/sautarel_stephane20044x.html"
"SAVARY","René-Paul","Groupe Les Républicains","Les Républicains","H","Marne","rene-paul-savary","http://www.senat.fr/senateur/savary_rene_paul11097x.html"
"SAVIN","Michel","Groupe Les Républicains","Les Républicains","H","Isère","michel-savin","http://www.senat.fr/senateur/savin_michel11043h.html"
"SAVOLDELLI","Pascal","Groupe communiste républicain citoyen et écologiste","Parti communiste Français","H","Val-de-Marne","pascal-savoldelli","http://www.senat.fr/senateur/savoldelli_pascal19687n.html"
"SCHALCK","Elsa","Groupe Les Républicains","Les Républicains","F","Bas-Rhin","elsa-schalck","http://www.senat.fr/senateur/schalck_elsa20098n.html"
"SCHILLINGER","Patricia","Groupe Rassemblement des démocrates, progressistes et indépendants","En marche !","F","Haut-Rhin","patricia-schillinger","http://www.senat.fr/senateur/schillinger_patricia04045f.html"
"SEGOUIN","Vincent","Groupe Les Républicains","Les Républicains","H","Orne","vincent-segouin","http://www.senat.fr/senateur/segouin_vincent19762g.html"
"SIDO","Bruno","Groupe Les Républicains","Les Républicains","H","Haute-Marne","bruno-sido","http://www.senat.fr/senateur/sido_bruno01058x.html"
"SOL","Jean","Groupe Les Républicains","Les Républicains","H","Pyrénées-Orientales","jean-sol","http://www.senat.fr/senateur/sol_jean19703u.html"
"SOLLOGOUB","Nadia","Groupe Union Centriste","Non rattachée","F","Nièvre","nadia-sollogoub","http://www.senat.fr/senateur/sollogoub_nadia19713w.html"
"SOMON","Laurent","Groupe Les Républicains","Les Républicains","H","Somme","laurent-somon","http://www.senat.fr/senateur/somon_laurent20062a.html"
"STANZIONE","Lucien","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Vaucluse","lucien-stanzione","http://www.senat.fr/senateur/stanzione_lucien20084g.html"
"SUEUR","Jean-Pierre","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Loiret","jean-pierre-sueur","http://www.senat.fr/senateur/sueur_jean_pierre01028r.html"
"TABAROT","Philippe","Groupe Les Républicains","Les Républicains","H","Alpes-Maritimes","philippe-tabarot","http://www.senat.fr/senateur/tabarot_philippe20136b.html"
"TAILLÉ-POLIAN","Sophie","Groupe Écologiste -Solidarité et Territoires","Europe Écologie Les Verts","F","Val-de-Marne","sophie-taille-polian","http://www.senat.fr/senateur/taille_polian_sophie19689q.html"
"TEMAL","Rachid","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Val-d'Oise","rachid-temal","http://www.senat.fr/senateur/temal_rachid19669l.html"
"TETUANUI","Lana","Groupe Union Centriste","Tapura Huiraatira","F","Polynésie-française","lana-tetuanui","http://www.senat.fr/senateur/tetuanui_lana14275y.html"
"THÉOPHILE","Dominique","Groupe Rassemblement des démocrates, progressistes et indépendants","En marche !","H","Guadeloupe","dominique-theophile","http://www.senat.fr/senateur/theophile_dominique19301e.html"
"THOMAS","Claudine","Groupe Les Républicains","Les Républicains","F","Seine-et-Marne","claudine-thomas","http://www.senat.fr/senateur/thomas_claudine19675j.html"
"TISSOT","Jean-Claude","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Loire","jean-claude-tissot","http://www.senat.fr/senateur/tissot_jean_claude19413m.html"
"TODESCHINI","Jean-Marc","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Moselle","jean-marc-todeschini","http://www.senat.fr/senateur/todeschini_jean_marc01062t.html"
"VALLET","Mickaël","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Charente-Maritime","mickael-vallet","http://www.senat.fr/senateur/vallet_mickael20064c.html"
"VALLINI","André","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Isère","andre-vallini","http://www.senat.fr/senateur/vallini_andre11041f.html"
"VAN HEGHE","Sabine","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","F","Pas-de-Calais","sabine-van-heghe","http://www.senat.fr/senateur/van_heghe_sabine19527w.html"
"VANLERENBERGHE","Jean-Marie","Groupe Union Centriste","Mouvement Démocrate","H","Pas-de-Calais","jean-marie-vanlerenberghe","http://www.senat.fr/senateur/vanlerenberghe_jean_marie01034p.html"
"VARAILLAS","Marie-Claude","Groupe communiste républicain citoyen et écologiste","Parti communiste Français","F","Dordogne","marie-claude-varaillas","http://www.senat.fr/senateur/varaillas_marie_claude20046a.html"
"VAUGRENARD","Yannick","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Loire-Atlantique","yannick-vaugrenard","http://www.senat.fr/senateur/vaugrenard_yannick11066q.html"
"VENTALON","Anne","Groupe Les Républicains","Les Républicains","F","Ardèche","anne-ventalon","http://www.senat.fr/senateur/ventalon_anne20026v.html"
"VÉRIEN","Dominique","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","F","Yonne","dominique-verien","http://www.senat.fr/senateur/verien_dominique19749k.html"
"VERMEILLET","Sylvie","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","F","Jura","sylvie-vermeillet","http://www.senat.fr/senateur/vermeillet_sylvie19479g.html"
"VERZELEN","Pierre-Jean","Groupe Les Indépendants -République et Territoires","Union des démocrates, radicaux et libéraux","H","Aisne","pierre-jean-verzelen","http://www.senat.fr/senateur/verzelen_pierre_jean20122u.html"
"VIAL","Cédric","Groupe Les Républicains","Les Républicains","H","Savoie","cedric-vial","http://www.senat.fr/senateur/vial_cedric20058e.html"
"VOGEL","Jean Pierre","Groupe Les Républicains","Les Républicains","H","Sarthe","jean-pierre-vogel","http://www.senat.fr/senateur/vogel_jean_pierre14173t.html"
"VOGEL","Mélanie","Groupe Écologiste -Solidarité et Territoires","Europe Écologie Les Verts","F","Français établis hors de France","melanie-vogel","http://www.senat.fr/senateur/vogel_melanie20266l.html"
"WATTEBLED","Dany","Groupe Les Indépendants -République et Territoires","Mouvement Démocrate","H","Nord","dany-wattebled","http://www.senat.fr/senateur/wattebled_dany19585h.html"
