"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"ADNOT","Philippe","Non inscrit","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Aube","philippe-adnot","http://www.senat.fr/senateur/adnot_philippe89017r.html"
"AÏCHI","Leïla","Écologiste","Europe Écologie Les Verts","F","Paris","leila-aichi","http://www.senat.fr/senateur/aichi_leila11076s.html"
"ALLIZARD","Pascal","UMP","Union pour un Mouvement Populaire","H","Calvados","pascal-allizard","http://www.senat.fr/senateur/allizard_pascal14133k.html"
"AMIEL","Michel","Non inscrit","Parti radical de gauche","H","Bouches-du-Rhône","michel-amiel","http://www.senat.fr/senateur/amiel_michel14239u.html"
"ANDRÉ","Michèle","SOC","Parti socialiste","F","Puy-de-Dôme","michele-andre","http://www.senat.fr/senateur/andre_michele01031l.html"
"ANTISTE","Maurice","SOC","Parti progressiste Martiniquais","H","Martinique","maurice-antiste","http://www.senat.fr/senateur/antiste_maurice11109j.html"
"ANZIANI","Alain","SOC","Parti socialiste","H","Gironde","alain-anziani","http://www.senat.fr/senateur/anziani_alain08025t.html"
"ARCHIMBAUD","Aline","Écologiste","Europe Écologie Les Verts","F","Seine-Saint-Denis","aline-archimbaud","http://www.senat.fr/senateur/archimbaud_aline11055m.html"
"ARNELL","Jacques","RDSE","Rassemblement démocratique pour la Martinique","H","Saint-Martin","guillaume-arnell","http://www.senat.fr/senateur/arnell_guillaume14261s.html"
"ASSASSI","Éliane","CRC","Parti communiste Français","F","Seine-Saint-Denis","eliane-assassi","http://www.senat.fr/senateur/assassi_eliane04085p.html"
"ASSOULINE","David","SOC","Parti socialiste","H","Paris","david-assouline","http://www.senat.fr/senateur/assouline_david04059m.html"
"AUBEY","François","SOC","Parti socialiste","H","Calvados","francois-aubey","http://www.senat.fr/senateur/aubey_francois14137p.html"
"BAILLY","Dominique","SOC","Parti socialiste","H","Nord","dominique-bailly","http://www.senat.fr/senateur/bailly_dominique11039m.html"
"BAILLY","Gérard","UMP","Union pour un Mouvement Populaire","H","Jura","gerard-bailly","http://www.senat.fr/senateur/bailly_gerard01008m.html"
"BARBIER","Gilbert","RDSE","Parti radical de gauche","H","Jura","gilbert-barbier","http://www.senat.fr/senateur/barbier_gilbert01046t.html"
